epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.2497,57.33,2.7121,26.41,33.01,0.00,0.00,4.5
2,1.0263,65.04,2.6034,28.41,35.51,0.00,0.00,3.7
3,0.9258,68.69,2.4051,28.41,35.51,0.00,0.00,3.7
4,0.8766,70.21,2.1219,34.05,42.56,0.00,0.00,3.9
5,0.8229,72.13,2.0811,38.03,47.54,0.00,0.00,3.8
6,0.7798,73.78,2.0555,39.97,49.96,0.00,0.00,3.8
7,0.7388,75.46,1.8784,43.52,54.40,0.00,0.00,3.8
8,0.7143,75.86,1.9518,44.20,55.25,0.00,0.00,3.8
9,0.6932,76.73,2.0540,41.55,51.94,0.00,0.00,3.8
10,0.6662,77.66,1.8691,44.30,55.38,0.00,0.00,3.7
11,0.6466,77.95,2.0433,42.87,53.55,0.15,0.00,3.8
12,0.6167,79.32,2.1917,39.97,49.96,0.00,0.00,3.9
13,0.6090,79.65,1.7128,47.53,59.24,0.70,0.00,3.8
14,0.5829,80.53,1.7828,46.87,58.40,0.75,0.00,3.7
15,0.5817,80.64,1.6508,51.63,63.31,4.90,0.00,3.9
16,0.5554,81.63,1.9346,47.03,58.42,1.45,0.00,3.7
17,0.5363,81.89,2.0062,44.24,54.85,1.80,0.00,3.8
18,0.5265,82.30,1.9423,46.84,58.24,1.25,0.00,3.9
19,0.5178,82.99,1.8628,47.03,58.62,0.65,0.00,3.8
20,0.5074,82.65,1.6471,51.21,61.29,10.90,0.00,3.7
21,0.4958,83.15,1.5366,54.00,63.75,15.00,0.00,3.9
22,0.4816,83.68,1.6386,54.17,65.10,10.45,0.00,3.8
23,0.4671,84.37,2.0512,49.65,61.80,1.05,0.00,3.9
24,0.4620,84.15,1.7083,51.86,63.55,5.10,0.00,3.8
25,0.4582,84.35,1.7728,50.10,62.00,2.50,0.00,3.8
26,0.4339,85.38,1.6385,52.52,62.36,13.15,0.00,3.7
27,0.4378,85.22,1.7781,49.43,60.51,5.10,0.00,3.8
28,0.4182,85.68,1.7415,51.36,63.71,1.95,0.00,3.8
29,0.4031,86.45,1.5764,55.26,65.59,13.95,0.00,3.8
30,0.3960,86.76,1.5877,54.37,63.15,19.25,0.00,3.8
31,0.3939,86.68,1.6103,54.47,64.40,14.75,0.00,3.9
32,0.3772,86.97,1.6954,54.05,65.60,7.85,0.00,4.0
33,0.3709,87.67,1.8276,53.41,65.58,4.75,0.00,3.6
34,0.3516,87.96,1.5681,56.66,66.30,18.10,0.00,3.8
35,0.3560,88.17,1.7137,54.78,66.14,9.35,0.00,3.8
36,0.3476,88.59,1.5165,54.86,65.09,13.95,0.00,3.9
37,0.3276,88.86,1.5428,57.98,67.90,18.30,0.00,3.9
38,0.3298,88.62,1.5886,56.96,67.08,16.50,0.00,3.8
39,0.3017,89.55,1.5689,57.17,66.40,20.25,0.00,3.8
40,0.3046,89.89,1.6306,57.49,66.31,22.20,0.00,3.8
41,0.3024,89.55,1.6172,57.05,66.70,18.45,0.00,3.7
42,0.2779,90.23,1.6320,58.45,68.90,16.65,0.00,3.6
43,0.2855,90.20,1.4837,60.34,68.53,27.60,0.00,3.8
44,0.2758,90.44,1.6500,57.15,67.53,15.65,0.00,3.7
45,0.2637,91.04,1.7343,57.32,67.65,16.00,0.00,3.8
46,0.2539,91.55,1.7305,57.22,64.50,28.10,0.00,3.7
47,0.2435,91.88,1.8020,58.04,69.24,13.25,0.00,3.9
48,0.2388,91.72,1.6943,58.58,66.34,27.55,0.00,3.8
49,0.2229,92.34,1.7192,57.59,65.72,25.05,0.00,3.7
50,0.2237,92.24,1.5061,61.68,68.90,32.80,0.00,3.9
51,0.2146,92.50,1.4810,61.83,68.61,34.70,0.00,3.9
52,0.2061,92.91,2.1142,54.79,64.34,16.60,0.00,3.9
53,0.1976,93.25,1.5604,61.71,69.60,30.15,0.00,3.8
54,0.1975,93.27,1.7355,59.59,69.22,21.05,0.00,3.7
55,0.1766,94.07,2.0144,56.21,65.14,20.50,0.00,3.8
56,0.1822,93.89,1.7256,60.32,67.66,30.95,0.00,3.4
57,0.1694,94.18,1.9211,59.07,69.09,19.00,0.00,3.7
