epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.2295,57.14,2.7277,25.83,32.29,0.00,0.00,3.2
2,1.0024,65.03,2.4384,30.42,38.02,0.00,0.00,2.3
3,0.9132,68.93,2.2136,34.42,43.02,0.00,0.00,2.3
4,0.8348,71.22,2.4966,33.45,41.81,0.00,0.00,2.4
5,0.7870,73.39,2.3178,32.57,40.71,0.00,0.00,2.3
6,0.7539,74.35,2.1883,39.03,48.79,0.00,0.00,2.2
7,0.7015,76.29,1.8783,42.69,53.24,0.50,0.00,2.2
8,0.6693,77.45,1.8438,45.05,56.31,0.00,0.00,2.1
9,0.6297,78.16,1.7564,45.49,56.33,2.15,0.00,2.0
10,0.5989,79.45,1.8766,44.88,55.19,3.65,0.00,2.0
11,0.5642,81.16,1.8750,45.08,55.60,3.00,0.00,2.0
12,0.5259,81.92,1.7539,47.69,58.34,5.10,0.00,2.1
13,0.5015,82.70,1.7083,50.20,61.17,6.30,0.00,2.3
14,0.4669,83.86,1.8173,48.81,59.88,4.55,0.00,2.3
15,0.4355,84.88,1.7320,51.69,61.31,13.20,0.00,2.3
16,0.4099,85.70,1.6856,52.73,62.34,14.30,0.00,2.3
17,0.3847,86.57,1.7172,53.57,64.11,11.40,0.00,2.0
18,0.3658,87.52,1.7066,53.93,63.67,14.95,0.00,2.0
19,0.3588,87.84,1.6793,54.39,63.76,16.90,0.00,2.3
20,0.3469,88.15,1.6917,54.33,63.92,15.95,0.00,2.3
