epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.2168,59.12,2.5644,28.42,35.52,0.00,0.00,5.2
2,0.9334,68.43,2.1347,37.76,47.20,0.00,0.00,4.6
3,0.8335,71.67,2.1065,38.65,48.31,0.00,0.00,4.6
4,0.7616,73.93,2.0398,42.24,52.80,0.00,0.00,4.4
5,0.7087,76.02,1.9349,44.14,55.11,0.25,0.00,4.5
6,0.6528,77.68,1.8384,46.30,57.56,1.25,0.00,4.6
7,0.6239,79.04,1.9661,44.53,55.31,1.40,0.00,4.6
8,0.5911,79.57,1.7475,49.72,60.70,5.80,0.00,4.5
9,0.5576,81.11,1.6910,50.20,59.99,11.05,0.00,4.5
10,0.5225,82.02,1.6353,51.61,61.46,12.20,0.00,4.5
11,0.5077,82.77,1.6615,51.51,62.15,8.95,0.00,4.4
12,0.4910,83.14,1.6462,52.16,62.46,10.95,0.00,4.5
13,0.4652,83.98,1.9139,48.86,59.23,7.40,0.00,4.6
14,0.4479,84.19,1.6482,54.59,64.51,14.90,0.00,4.5
15,0.4195,85.62,1.8513,52.72,63.76,8.55,0.00,4.2
16,0.4102,85.95,1.6262,55.33,65.19,15.90,0.00,4.6
17,0.3943,86.28,1.7108,55.21,64.96,16.20,0.00,4.6
18,0.3739,86.96,1.6550,56.23,66.08,16.85,0.00,4.6
19,0.3628,87.24,1.7202,55.52,66.19,12.85,0.00,4.5
20,0.3527,87.63,1.7112,57.71,68.06,16.30,0.00,4.6
21,0.3342,88.53,1.7709,55.54,63.79,22.55,0.00,4.5
22,0.3354,88.30,1.8182,55.73,65.67,15.95,0.00,4.4
23,0.3077,89.38,1.7025,57.82,66.33,23.80,0.00,4.7
24,0.3067,89.14,1.8799,56.02,66.30,14.90,0.00,4.5
25,0.2964,89.75,1.7729,57.88,67.89,17.85,0.00,4.6
26,0.2828,90.39,1.8165,56.67,65.64,20.80,0.00,4.6
27,0.2731,90.48,1.9061,56.30,65.25,20.50,0.00,4.3
28,0.2650,90.59,1.9330,56.34,64.97,21.80,0.00,4.7
29,0.2494,91.28,1.7715,60.10,69.33,23.20,0.00,4.4
30,0.2536,91.04,1.9415,55.57,63.99,21.90,0.00,4.7
31,0.2427,91.52,1.8598,59.16,67.64,25.25,0.00,4.3
32,0.2297,91.95,1.9626,58.92,69.04,18.45,0.00,4.6
33,0.2333,91.94,2.0854,57.10,66.75,18.50,0.00,4.5
34,0.2213,92.21,1.8668,58.37,66.92,24.15,0.00,4.3
35,0.2070,92.75,2.0436,58.10,67.28,21.40,0.00,4.6
36,0.2038,92.86,2.0095,57.55,67.30,18.55,0.00,4.5
37,0.1999,92.79,1.8803,59.94,67.40,30.10,0.00,4.4
38,0.1962,93.16,1.8258,59.26,66.69,29.55,0.00,4.4
39,0.1930,93.19,2.1071,57.07,66.94,17.60,0.00,4.5
40,0.1843,93.60,2.1054,57.21,65.72,23.15,0.00,5.7
41,0.1734,94.18,2.1633,56.40,64.41,24.35,0.00,5.0
42,0.1754,93.66,2.2206,56.28,63.88,25.90,0.00,4.6
43,0.1655,94.09,2.2743,56.98,66.34,19.55,0.00,4.7
44,0.1573,94.58,2.2585,57.32,67.25,17.60,0.00,4.7
45,0.1588,94.29,2.3050,56.97,66.78,17.75,0.00,4.6
46,0.1516,94.62,2.1741,58.59,67.71,22.10,0.00,4.8
47,0.1442,94.91,2.3660,56.01,65.66,17.40,0.00,4.9
48,0.1531,94.78,2.1768,59.55,69.89,18.20,0.00,4.7
49,0.1381,95.16,2.2936,58.02,67.05,21.90,0.00,5.1
50,0.1342,95.32,2.4411,56.34,66.34,16.35,0.00,5.0
51,0.1329,95.55,2.2632,57.68,67.84,17.05,0.00,5.0
52,0.1288,95.37,2.4399,57.09,67.55,15.25,0.00,4.9
53,0.1318,95.52,2.2532,57.48,66.38,21.90,0.00,4.6
54,0.1279,95.41,2.3357,57.32,67.06,18.35,0.00,4.6
55,0.1273,95.79,2.2734,59.07,68.91,19.70,0.00,4.8
56,0.1227,95.86,2.3917,56.85,66.75,17.25,0.00,4.8
57,0.1219,95.85,2.1154,60.56,67.62,32.30,0.00,4.8
58,0.1122,96.19,2.2505,58.69,66.97,25.55,0.00,4.5
59,0.1119,96.07,2.1805,59.80,67.94,27.25,0.00,4.9
60,0.1130,96.20,2.2234,59.02,67.36,25.65,0.00,4.8
61,0.0933,96.74,2.3345,59.33,67.74,25.70,0.00,4.7
62,0.0991,96.58,2.4708,58.55,68.56,18.50,0.00,4.5
63,0.1022,96.42,2.4236,57.94,65.89,26.15,0.00,5.3
64,0.1045,96.23,2.4812,57.52,65.91,23.95,0.00,5.2
65,0.0950,96.79,2.5241,58.03,67.86,18.70,0.00,4.9
66,0.0900,96.90,2.4655,59.20,68.58,21.70,0.00,5.0
67,0.0990,96.62,2.3924,58.58,67.22,24.00,0.00,4.5
68,0.0961,96.68,2.3400,59.07,68.47,21.45,0.00,4.6
69,0.0888,96.86,2.3684,60.06,67.44,30.55,0.00,4.6
70,0.0907,96.85,2.3442,59.55,68.39,24.20,0.00,5.1
71,0.0916,96.76,2.2296,60.81,68.58,29.75,0.00,5.0
72,0.0803,97.16,2.5611,58.27,67.17,22.65,0.00,4.7
73,0.0834,97.04,2.5549,57.42,66.95,19.30,0.00,4.4
74,0.0787,97.28,2.6160,57.32,67.53,16.50,0.00,4.6
75,0.0791,97.36,2.5713,57.63,66.78,21.05,0.00,4.8
76,0.0738,97.32,2.5002,58.27,66.39,25.80,0.00,4.5
77,0.0827,97.03,2.4131,58.38,66.30,26.70,0.00,5.1
78,0.0737,97.35,2.5041,59.07,68.69,20.60,0.00,4.7
79,0.0730,97.44,2.5289,58.70,68.39,19.95,0.00,4.8
80,0.0690,97.85,2.5669,58.08,66.16,25.75,0.00,4.8
81,0.0617,97.87,2.5928,58.22,66.49,25.15,0.00,4.9
82,0.0649,97.82,2.6395,58.25,67.71,20.40,0.00,5.0
83,0.0688,97.65,2.6641,57.79,67.67,18.25,0.00,4.9
84,0.0650,97.73,2.5961,59.02,68.26,22.05,0.00,4.6
85,0.0630,97.90,2.5028,59.62,67.59,27.75,0.00,4.4
86,0.0678,97.62,2.4151,60.55,68.41,29.10,0.00,4.5
87,0.0631,97.96,2.5565,60.20,69.40,23.40,0.00,4.8
88,0.0630,97.80,2.4504,61.06,69.72,26.40,0.00,4.8
89,0.0620,97.85,2.6229,59.04,67.47,25.30,0.00,4.9
90,0.0520,98.21,2.5294,59.61,68.11,25.60,0.00,4.8
91,0.0582,97.98,2.4372,61.20,69.35,28.60,0.00,4.6
92,0.0533,98.07,2.8499,58.52,68.92,16.90,0.00,4.6
93,0.0563,98.10,2.7152,58.94,68.91,19.05,0.00,4.7
94,0.0617,97.89,2.7311,57.05,66.81,18.00,0.00,4.8
95,0.0503,98.39,2.4507,60.56,69.40,25.20,0.00,4.9
96,0.0502,98.22,2.7127,58.89,68.80,19.25,0.00,5.1
97,0.0499,98.22,2.4843,61.24,69.44,28.45,0.00,4.5
98,0.0438,98.56,2.6899,59.66,68.88,22.80,0.00,4.5
99,0.0483,98.44,2.6881,59.20,68.12,23.50,0.00,4.8
100,0.0512,98.28,2.4798,60.49,69.61,24.00,0.00,4.6
101,0.0507,98.23,2.5164,60.03,68.19,27.40,0.00,4.6
102,0.0431,98.47,2.6587,59.17,67.56,25.60,0.00,5.0
103,0.0493,98.42,2.5730,60.03,68.99,24.20,0.00,4.6
104,0.0427,98.63,2.6218,60.21,70.54,18.90,0.00,4.7
105,0.0436,98.39,2.5946,60.54,68.01,30.65,0.00,4.6
106,0.0377,98.75,2.7088,59.72,68.74,23.65,0.00,4.8
107,0.0378,98.73,2.7289,60.73,68.92,27.95,0.00,4.6
108,0.0321,98.85,2.6067,61.07,69.76,26.30,0.00,4.8
109,0.0436,98.47,2.9507,57.91,67.30,20.35,0.00,5.0
110,0.0467,98.45,2.8592,58.35,67.61,21.30,0.00,4.8
111,0.0385,98.72,2.7633,59.03,68.15,22.55,0.00,4.6
112,0.0381,98.68,2.7815,59.70,68.88,23.00,0.00,4.9
113,0.0308,98.90,2.6884,60.94,70.05,24.50,0.00,4.7
114,0.0407,98.69,2.8970,58.60,67.76,21.95,0.00,4.9
115,0.0365,98.81,2.6166,61.23,68.35,32.75,0.00,4.8
116,0.0388,98.66,2.7603,59.18,68.42,22.20,0.00,4.8
117,0.0354,98.86,2.9466,58.98,69.53,16.80,0.00,5.2
118,0.0373,98.77,2.5961,61.12,71.44,19.85,0.00,4.8
119,0.0336,98.78,2.6523,60.30,68.91,25.85,0.00,4.7
120,0.0359,98.86,2.5093,61.27,70.08,26.05,0.00,4.7
121,0.0325,98.88,2.6742,60.74,70.34,22.35,0.00,4.4
122,0.0296,99.10,2.6893,60.37,68.39,28.30,0.00,5.0
123,0.0353,98.85,2.8730,58.48,67.79,21.25,0.00,4.9
124,0.0321,98.82,2.5767,60.77,69.69,25.10,0.00,4.6
125,0.0287,98.92,2.7245,60.22,69.45,23.30,0.00,5.0
126,0.0287,99.11,2.9976,59.05,69.11,18.80,0.00,4.7
127,0.0316,98.91,2.6818,59.61,68.84,22.70,0.00,4.8
128,0.0321,98.94,2.7727,60.18,69.12,24.40,0.00,4.6
129,0.0278,99.14,2.9089,58.14,67.15,22.10,0.00,4.8
130,0.0278,99.01,2.7110,60.36,68.33,28.50,0.00,4.8
131,0.0244,99.15,2.9616,58.94,69.16,18.05,0.00,4.9
132,0.0238,99.15,2.7430,60.97,68.49,30.90,0.00,4.7
133,0.0262,99.19,2.8756,59.29,68.11,24.00,0.00,4.6
134,0.0249,99.15,2.9323,59.91,69.06,23.30,0.00,4.7
135,0.0288,99.04,3.0678,57.98,66.64,23.35,0.00,4.7
136,0.0263,99.15,2.7108,60.71,69.22,26.65,0.00,4.7
137,0.0278,99.13,2.7095,60.74,69.45,25.90,0.00,5.0
138,0.0240,99.21,2.6886,60.62,69.21,26.25,0.00,4.7
139,0.0238,99.18,2.8016,60.14,68.50,26.70,0.00,4.7
140,0.0224,99.18,2.8224,60.37,69.30,24.65,0.00,5.2
141,0.0212,99.34,2.7530,60.82,68.55,29.90,0.00,4.9
142,0.0219,99.22,3.0333,58.71,69.17,16.85,0.00,4.8
143,0.0172,99.39,2.8083,60.90,69.50,26.50,0.00,5.2
144,0.0194,99.40,3.1534,58.82,68.04,21.95,0.00,5.1
145,0.0200,99.35,2.7833,60.33,69.26,24.60,0.00,4.9
146,0.0207,99.31,2.9902,59.06,68.67,20.60,0.00,4.8
147,0.0226,99.31,3.0202,59.23,69.42,18.45,0.00,4.7
148,0.0206,99.35,2.7152,61.17,68.24,32.90,0.00,4.4
149,0.0193,99.34,3.0410,58.01,67.30,20.85,0.00,4.9
150,0.0171,99.44,2.8919,59.18,68.26,22.85,0.00,5.0
151,0.0190,99.45,2.8205,60.06,70.03,20.20,0.00,5.4
152,0.0191,99.31,2.7438,60.99,69.62,26.45,0.00,4.7
153,0.0196,99.36,2.9170,59.38,68.14,24.35,0.00,4.9
154,0.0159,99.48,2.7565,61.24,68.76,31.15,0.00,4.6
155,0.0139,99.52,3.0289,59.08,67.89,23.85,0.00,4.5
156,0.0169,99.40,2.7634,61.42,68.97,31.20,0.00,4.6
157,0.0179,99.35,2.9743,60.29,70.12,20.95,0.00,4.5
158,0.0162,99.47,3.1533,58.77,68.19,21.10,0.00,4.7
159,0.0149,99.45,2.8533,61.00,70.56,22.75,0.00,4.6
160,0.0196,99.40,2.8730,60.41,69.22,25.15,0.00,4.7
161,0.0200,99.34,2.9412,60.12,69.86,21.15,0.00,4.7
162,0.0188,99.39,2.9095,60.20,69.46,23.15,0.00,4.2
163,0.0126,99.55,2.9863,59.77,69.14,22.30,0.00,5.0
164,0.0120,99.56,2.9060,60.11,69.09,24.20,0.00,4.6
165,0.0102,99.71,2.9131,60.26,69.03,25.20,0.00,5.0
166,0.0107,99.67,2.9930,59.64,67.26,29.15,0.00,4.7
167,0.0113,99.66,2.9289,59.61,67.66,27.40,0.00,4.8
168,0.0105,99.61,3.0213,60.27,69.30,24.15,0.00,4.9
169,0.0151,99.50,3.0300,59.85,68.97,23.35,0.00,4.8
170,0.0126,99.57,3.0456,60.46,69.84,22.95,0.00,4.8
171,0.0106,99.68,3.0920,59.37,68.56,22.60,0.00,4.7
172,0.0127,99.54,3.0976,58.63,67.88,21.65,0.00,4.9
173,0.0155,99.52,3.0070,59.35,68.54,22.60,0.00,4.8
174,0.0131,99.56,2.8518,60.64,69.80,24.00,0.00,4.7
175,0.0104,99.61,2.8345,61.80,70.22,28.10,0.00,5.1
176,0.0104,99.72,3.1163,59.22,68.33,22.80,0.00,4.6
177,0.0091,99.69,3.0805,60.03,69.40,22.55,0.00,4.8
178,0.0085,99.72,3.0143,60.83,67.55,33.95,0.00,5.0
179,0.0106,99.61,2.9321,60.70,69.83,24.20,0.00,5.3
180,0.0112,99.65,3.0458,60.29,69.70,22.65,0.00,4.7
181,0.0100,99.62,2.8300,61.34,69.47,28.80,0.00,4.6
182,0.0065,99.75,3.2073,59.26,68.76,21.25,0.00,4.6
183,0.0074,99.76,3.2173,59.48,69.01,21.35,0.00,4.8
184,0.0090,99.70,2.9404,61.45,69.89,27.70,0.00,4.9
185,0.0071,99.81,3.0209,60.90,70.06,24.25,0.00,4.6
186,0.0076,99.74,3.1153,60.68,70.28,22.30,0.00,4.6
187,0.0088,99.72,3.1461,60.08,69.21,23.55,0.00,4.5
188,0.0076,99.78,3.1434,60.16,69.21,23.95,0.00,5.0
189,0.0093,99.72,3.2265,59.31,69.56,18.30,0.00,5.0
190,0.0062,99.83,3.1019,60.61,69.86,23.60,0.00,4.8
191,0.0080,99.74,3.1039,60.79,70.44,22.20,0.00,4.7
192,0.0095,99.67,2.9936,61.21,71.00,22.05,0.00,4.7
193,0.0086,99.74,3.0997,60.43,69.67,23.45,0.00,4.8
194,0.0055,99.82,3.1353,60.70,70.79,20.35,0.00,4.6
195,0.0083,99.70,3.2139,59.19,69.76,16.90,0.00,5.2
196,0.0084,99.72,3.1605,59.73,68.41,25.00,0.00,5.3
197,0.0096,99.68,3.0859,60.21,69.88,21.55,0.00,4.7
198,0.0086,99.70,2.8896,61.51,70.70,24.75,0.00,4.7
199,0.0065,99.75,3.0138,60.65,70.39,21.70,0.00,4.6
200,0.0055,99.84,2.9654,61.16,70.40,24.20,0.00,4.7
201,0.0038,99.88,3.3917,59.27,69.67,17.65,0.00,4.3
202,0.0042,99.82,3.2183,60.44,71.00,18.20,0.00,4.8
203,0.0055,99.77,3.2530,59.94,69.59,21.35,0.00,5.0
204,0.0052,99.83,3.2135,60.16,69.71,21.95,0.00,4.9
205,0.0069,99.80,3.3275,59.46,69.66,18.65,0.00,5.0
206,0.0062,99.76,3.0979,60.70,70.97,19.60,0.00,5.5
207,0.0040,99.85,3.1526,60.54,69.92,23.00,0.00,5.0
208,0.0046,99.86,3.1695,60.16,69.65,22.20,0.00,4.6
209,0.0044,99.86,3.2200,59.64,68.51,24.15,0.00,4.8
210,0.0039,99.84,3.1949,60.62,70.22,22.20,0.00,4.6
211,0.0045,99.78,3.3345,59.37,69.61,18.40,0.00,5.2
212,0.0055,99.83,3.3757,59.43,69.45,19.35,0.00,4.6
213,0.0064,99.83,3.0194,60.89,69.70,25.65,0.00,5.3
214,0.0031,99.90,3.0981,60.92,70.38,23.10,0.00,4.5
215,0.0042,99.81,3.0663,60.99,70.26,23.90,0.00,4.7
216,0.0032,99.90,3.1316,60.66,69.74,24.35,0.00,5.2
217,0.0033,99.85,3.1664,60.82,69.91,24.45,0.00,4.6
