epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.4630,50.94,3.0687,21.04,26.30,0.00,0.00,3.4
2,1.1042,61.95,2.7274,24.04,30.05,0.00,0.00,2.2
3,1.0022,65.63,2.7679,28.27,35.34,0.00,0.00,2.0
4,0.9337,68.60,2.5464,28.22,35.27,0.00,0.00,1.7
5,0.8981,69.16,2.3713,28.80,36.00,0.00,0.00,1.7
6,0.8456,71.44,2.2551,32.66,40.83,0.00,0.00,2.3
7,0.8046,72.73,2.2417,35.34,44.17,0.00,0.00,2.0
8,0.7671,74.02,2.2709,32.77,40.96,0.00,0.00,2.1
9,0.7324,75.00,2.1825,38.34,47.92,0.00,0.00,2.0
10,0.7207,75.91,2.1279,38.46,48.08,0.00,0.00,2.0
11,0.6839,76.87,2.0818,40.46,50.58,0.00,0.00,2.0
12,0.6564,77.77,1.9880,43.11,53.89,0.00,0.00,2.1
13,0.6316,78.73,1.9899,45.33,56.66,0.00,0.00,2.2
14,0.6146,79.08,1.9928,45.76,57.20,0.00,0.00,2.3
15,0.6038,79.53,2.3489,39.79,49.74,0.00,0.00,2.3
16,0.5780,80.44,2.1137,44.32,55.40,0.00,0.00,2.2
17,0.5622,80.71,1.8622,43.54,54.35,0.30,0.00,2.3
18,0.5525,81.48,1.8328,45.93,57.36,0.20,0.00,2.1
19,0.5344,82.02,1.8284,49.44,61.60,0.80,0.00,2.3
20,0.5205,82.40,2.0252,46.13,57.62,0.15,0.00,2.4
21,0.5096,83.20,1.7408,48.98,60.64,2.35,0.00,2.3
22,0.4972,83.18,1.9605,45.86,55.52,7.20,0.00,2.3
23,0.4874,83.45,1.8501,49.14,59.52,7.60,0.00,2.2
24,0.4775,83.85,1.8975,48.74,58.86,8.25,0.00,2.3
25,0.4611,84.46,1.9023,48.96,59.34,7.45,0.00,1.7
26,0.4555,84.35,1.7361,51.39,60.71,14.10,0.00,1.6
27,0.4398,85.05,1.6635,52.52,64.38,5.10,0.00,1.6
28,0.4315,85.36,1.7754,53.27,64.80,7.15,0.00,1.8
29,0.4202,85.76,2.0383,48.00,57.89,8.45,0.00,1.9
30,0.4099,85.95,1.6788,53.71,63.88,13.05,0.00,2.0
31,0.4018,86.32,1.7286,52.88,63.62,9.90,0.00,2.1
32,0.3925,86.61,1.5822,55.08,63.95,19.60,0.00,2.3
33,0.3867,86.55,1.9061,51.88,61.41,13.75,0.00,2.3
34,0.3641,87.39,1.8806,53.26,63.59,11.95,0.00,2.0
35,0.3693,87.61,1.8023,52.62,61.41,17.45,0.00,2.3
36,0.3544,87.64,1.8545,52.15,61.96,12.90,0.00,2.4
37,0.3459,87.94,1.7886,51.59,60.39,16.40,0.00,2.3
38,0.3429,88.12,1.6137,57.07,66.65,18.75,0.00,2.2
39,0.3332,88.47,1.7829,55.13,65.19,14.90,0.00,2.4
40,0.3338,88.62,1.8620,54.27,64.50,13.35,0.00,2.3
41,0.3251,88.83,1.8192,55.28,65.65,13.80,0.00,2.3
42,0.3125,88.92,1.5848,57.94,64.60,31.30,0.00,2.4
43,0.3065,89.65,1.9051,53.27,62.45,16.55,0.00,2.0
44,0.2898,89.86,1.6164,57.64,66.38,22.70,0.00,2.0
45,0.2918,90.17,1.7379,57.44,66.76,20.15,0.00,2.0
46,0.2884,90.08,1.7279,56.24,64.79,22.05,0.00,1.7
47,0.2821,90.17,1.9371,55.10,64.10,19.10,0.00,1.7
48,0.2762,90.31,1.7415,57.12,66.95,17.80,0.00,1.7
49,0.2639,90.66,1.8509,56.53,64.45,24.85,0.00,1.7
50,0.2602,90.84,1.6221,60.11,67.66,29.90,0.00,1.7
51,0.2506,91.29,1.7449,58.51,66.97,24.65,0.00,1.7
52,0.2479,91.47,1.7762,57.80,65.97,25.10,0.00,1.7
53,0.2402,91.56,2.0589,55.80,66.61,12.55,0.00,2.0
54,0.2368,91.62,1.9327,56.40,65.60,19.60,0.00,2.1
55,0.2320,92.00,2.0034,55.04,63.31,21.95,0.00,2.3
56,0.2247,92.25,1.8685,57.27,64.84,27.00,0.00,2.3
57,0.2255,92.27,1.8672,57.64,66.38,22.70,0.00,2.2
58,0.2164,92.29,2.0085,56.02,63.65,25.50,0.00,2.3
59,0.2064,92.81,1.9409,56.14,63.92,25.00,0.00,1.5
60,0.2156,92.70,2.0039,57.45,66.81,20.00,0.00,1.2
61,0.2065,92.98,2.1031,54.99,64.40,17.35,0.00,1.2
62,0.2017,93.04,1.9843,56.53,63.38,29.15,0.00,1.7
63,0.1967,93.12,1.9047,58.51,68.25,19.55,0.00,1.7
64,0.1865,93.48,2.0497,56.78,66.39,18.35,0.00,1.2
65,0.1943,93.30,1.8350,59.47,67.71,26.50,0.00,1.7
66,0.1832,93.83,1.8550,58.35,66.36,26.30,0.00,1.6
67,0.1795,93.82,1.7152,60.49,68.19,29.70,0.00,1.9
68,0.1719,94.04,2.0490,56.99,65.11,24.50,0.00,2.0
69,0.1678,94.19,1.9593,58.86,65.84,30.95,0.00,2.0
70,0.1640,94.18,2.0195,58.21,66.41,25.40,0.00,1.7
