epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3553,53.25,3.0650,23.13,28.91,0.00,0.00,3.0
2,1.1141,62.03,2.5622,26.44,33.05,0.00,0.00,2.1
3,0.9840,66.60,2.5302,29.99,37.49,0.00,0.00,2.2
4,0.9091,69.09,2.5012,31.71,39.64,0.00,0.00,1.9
5,0.8453,71.56,2.5819,35.92,44.90,0.00,0.00,2.1
6,0.8010,72.96,2.5191,36.07,45.09,0.00,0.00,1.8
7,0.7562,74.47,2.3895,35.91,44.89,0.00,0.00,1.9
8,0.7240,75.55,2.1960,40.69,50.86,0.00,0.00,1.2
9,0.6900,76.73,1.8987,42.97,53.71,0.00,0.00,2.2
10,0.6760,77.37,2.1428,36.51,45.64,0.00,0.00,2.2
11,0.6472,78.46,2.1962,40.24,50.30,0.00,0.00,1.9
12,0.6244,78.74,1.7788,44.68,55.38,1.90,0.00,2.3
13,0.6101,79.37,2.0620,43.77,54.65,0.25,0.00,1.6
14,0.5821,80.20,2.0335,43.14,53.74,0.75,0.00,1.5
15,0.5781,80.97,1.7571,49.47,60.27,6.25,0.00,2.2
16,0.5601,81.30,1.8861,45.62,56.31,2.85,0.00,2.1
17,0.5425,81.67,1.6875,47.78,59.00,2.90,0.00,2.2
18,0.5311,81.98,1.7807,47.75,58.98,2.85,0.00,2.2
19,0.5237,81.94,1.8054,49.40,61.20,2.20,0.00,2.3
20,0.5074,83.03,1.7871,46.75,57.84,2.40,0.00,2.4
21,0.5053,82.87,1.6639,52.43,62.01,14.10,0.00,2.3
22,0.4938,83.48,1.7590,48.64,58.90,7.60,0.00,2.3
23,0.4884,83.38,1.7638,50.32,59.79,12.45,0.00,2.3
24,0.4826,83.48,1.6897,51.21,62.20,7.25,0.00,2.4
25,0.4685,84.31,1.7431,50.03,60.19,9.40,0.00,2.2
26,0.4700,84.18,1.7262,50.59,61.70,6.15,0.00,2.4
27,0.4493,85.14,1.6906,53.20,62.67,15.30,0.00,2.4
28,0.4409,85.39,1.7172,54.64,66.96,5.35,0.00,2.2
29,0.4345,85.06,1.9758,46.29,54.95,11.65,0.00,2.5
30,0.4318,85.35,1.5977,53.76,62.15,20.20,0.00,2.2
31,0.4276,85.73,1.7179,53.95,65.38,8.25,0.00,2.5
32,0.4200,85.63,1.6035,53.58,63.21,15.05,0.00,2.3
33,0.4225,85.48,1.8047,50.58,57.71,22.05,0.00,2.3
34,0.4101,86.10,1.8269,49.61,57.86,16.60,0.00,2.4
35,0.4080,86.32,2.1617,47.82,56.49,13.15,0.00,2.4
