epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.2453,58.97,2.8530,27.52,34.40,0.00,0.00,4.0
2,0.9741,66.70,2.4723,34.53,43.16,0.00,0.00,2.8
3,0.8864,70.14,2.3914,35.13,43.91,0.00,0.00,4.1
4,0.8126,72.68,2.2335,33.94,42.42,0.00,0.00,4.2
5,0.7619,73.66,2.0964,39.73,49.66,0.00,0.00,4.2
6,0.7129,76.34,2.2502,41.62,52.01,0.05,0.00,3.8
7,0.6874,76.82,2.0206,42.66,53.26,0.25,0.00,3.7
8,0.6391,78.41,2.0179,44.80,55.98,0.10,0.00,3.9
9,0.6190,79.10,2.0908,43.46,54.11,0.85,0.00,3.3
10,0.6027,79.65,1.6604,47.35,57.34,7.40,0.00,2.9
11,0.5717,80.49,1.7132,49.91,61.52,3.45,0.00,2.9
12,0.5563,81.16,1.7084,50.32,61.17,6.90,0.00,2.9
13,0.5285,82.22,1.8654,46.47,56.44,6.60,0.00,3.4
14,0.5102,82.46,1.7605,49.89,61.66,2.80,0.00,3.3
15,0.4877,83.31,1.7710,50.98,61.05,10.70,0.00,4.3
16,0.4828,83.60,1.5896,53.23,62.46,16.30,0.00,3.8
17,0.4715,83.88,1.7245,53.01,64.56,6.80,0.00,4.2
18,0.4523,84.41,1.8068,51.60,62.38,8.50,0.00,3.5
19,0.4340,85.11,1.8333,51.49,62.44,7.70,0.00,4.3
20,0.4162,85.65,1.7225,53.72,65.01,8.55,0.00,4.3
21,0.4079,85.95,1.5279,55.82,63.91,23.45,0.00,4.3
22,0.3982,86.20,1.6027,55.59,67.58,7.65,0.00,3.9
23,0.3860,86.61,1.5509,56.61,65.53,20.95,0.00,3.7
24,0.3750,87.46,1.7472,56.04,65.67,17.50,0.00,3.7
25,0.3655,87.56,1.6890,56.06,64.81,21.05,0.00,3.2
26,0.3477,88.00,1.8192,56.38,66.60,15.50,0.00,3.5
27,0.3440,88.17,1.7640,57.41,66.14,22.50,0.00,3.7
28,0.3341,88.30,1.7101,58.17,66.97,22.95,0.00,4.0
29,0.3117,89.32,1.7142,57.32,66.53,20.50,0.00,4.2
30,0.3038,89.39,1.7940,57.34,66.04,22.55,0.00,3.9
31,0.3056,89.43,1.7174,57.53,66.06,23.40,0.00,3.5
32,0.2853,89.86,1.6869,58.12,66.45,24.80,0.00,3.5
33,0.2909,89.92,1.6307,60.16,68.12,28.30,0.00,3.5
34,0.2726,90.64,1.7680,59.17,67.62,25.35,0.00,3.4
35,0.2682,90.44,1.9100,56.30,66.28,16.40,0.00,4.2
36,0.2558,90.70,1.8955,57.61,66.22,23.15,0.00,4.2
37,0.2529,91.12,1.9716,57.12,65.58,23.30,0.00,4.1
38,0.2394,91.45,1.8540,57.41,66.42,21.35,0.00,3.5
39,0.2255,91.96,2.0375,57.03,67.28,16.05,0.00,4.1
40,0.2266,92.15,1.9461,58.95,69.30,17.55,0.00,4.0
41,0.2187,92.27,1.7080,61.38,68.66,32.25,0.00,4.2
42,0.2188,92.21,1.9525,58.15,67.38,21.25,0.00,4.1
43,0.2050,92.87,1.9495,59.61,67.65,27.45,0.00,4.1
44,0.1952,93.21,1.9287,59.99,67.96,28.10,0.00,4.2
45,0.1907,93.19,1.9491,59.77,68.08,26.55,0.00,4.3
46,0.1940,93.28,2.0110,58.72,67.01,25.55,0.00,4.6
47,0.1823,93.43,1.8549,60.76,68.04,31.65,0.00,4.2
48,0.1820,93.55,2.0479,58.60,66.74,26.05,0.00,4.2
49,0.1644,94.28,2.2358,58.68,68.42,19.70,0.00,2.9
50,0.1743,93.65,2.3529,57.09,68.01,13.40,0.00,4.2
51,0.1516,94.72,2.2242,57.13,65.72,22.75,0.00,3.8
52,0.1507,94.61,2.3869,58.01,68.20,17.25,0.00,2.9
53,0.1528,94.64,2.2722,58.20,65.65,28.40,0.00,4.2
54,0.1512,94.74,2.2712,58.56,66.97,24.90,0.00,4.0
55,0.1332,95.24,2.1173,60.09,68.10,28.05,0.00,4.1
56,0.1323,95.33,2.3561,58.45,67.94,20.50,0.00,3.0
57,0.1299,95.43,2.3698,58.46,67.19,23.55,0.00,3.0
58,0.1289,95.56,2.3398,58.04,67.41,20.55,0.00,3.0
59,0.1140,95.95,2.3637,59.23,68.74,21.20,0.00,3.0
60,0.1264,95.50,2.3471,59.81,69.22,22.15,0.00,3.1
61,0.1137,96.06,2.2737,60.25,69.25,24.25,0.00,3.9
62,0.1183,95.89,2.2835,60.38,68.47,28.00,0.00,3.3
63,0.1133,95.99,2.3682,60.59,68.42,29.25,0.00,3.5
64,0.1116,96.13,2.3404,59.98,67.59,29.55,0.00,3.6
65,0.1064,96.20,2.3257,60.95,69.65,26.15,0.00,3.7
66,0.0990,96.53,2.4927,59.43,67.59,26.80,0.00,3.5
67,0.0902,96.81,2.4380,60.40,68.66,27.35,0.00,4.0
68,0.0870,96.91,2.7983,57.84,67.05,21.00,0.00,4.6
69,0.0924,96.70,2.7672,58.58,68.46,19.05,0.00,4.5
70,0.0810,97.22,2.8330,57.23,67.16,17.50,0.00,4.4
71,0.0823,97.07,2.7001,58.59,67.39,23.40,0.00,4.6
72,0.0912,96.70,2.6846,58.45,68.03,20.15,0.00,5.1
73,0.0814,97.02,2.6666,59.03,68.26,22.10,0.00,5.3
74,0.0814,97.11,2.8196,58.13,65.99,26.70,0.00,5.7
75,0.0750,97.19,2.7601,59.62,68.29,24.95,0.00,5.1
76,0.0809,97.19,2.6942,59.22,67.90,24.50,0.00,5.2
77,0.0725,97.46,2.9111,58.15,66.35,25.35,0.00,4.9
78,0.0757,97.46,2.8075,58.82,67.30,24.90,0.00,5.2
79,0.0675,97.67,2.9283,58.43,67.88,20.65,0.00,3.4
80,0.0616,97.73,2.9392,59.18,69.15,19.30,0.00,4.8
81,0.0638,97.99,2.9127,58.97,68.45,21.05,0.00,4.2
82,0.0683,97.55,2.7117,60.49,68.50,28.45,0.00,5.0
83,0.0628,97.83,2.8700,59.82,68.09,26.75,0.00,4.9
84,0.0596,97.99,2.9069,59.64,68.85,22.80,0.00,5.8
85,0.0578,98.11,3.0780,58.32,67.00,23.60,0.00,6.0
86,0.0566,98.06,2.8086,60.93,68.90,29.05,0.00,6.0
87,0.0584,97.99,3.0041,59.36,67.46,26.95,0.00,5.9
88,0.0574,98.01,2.9421,60.07,69.10,23.95,0.00,5.5
89,0.0556,98.06,2.9126,59.44,67.60,26.80,0.00,4.8
90,0.0526,98.14,2.8821,60.51,68.61,28.10,0.00,4.5
91,0.0484,98.19,3.1886,58.62,68.08,20.80,0.00,4.7
92,0.0408,98.55,3.1969,59.15,67.91,24.10,0.00,4.6
93,0.0539,98.11,3.1009,59.06,67.56,25.05,0.00,4.5
94,0.0467,98.32,3.1405,60.20,68.11,28.55,0.00,4.3
95,0.0464,98.47,3.0956,60.12,68.44,26.85,0.00,5.8
96,0.0492,98.28,3.0174,60.28,68.44,27.65,0.00,5.8
97,0.0388,98.63,3.1760,59.12,67.70,24.80,0.00,3.7
98,0.0431,98.54,3.2063,59.89,68.90,23.85,0.00,3.5
99,0.0392,98.55,3.2836,59.16,67.72,24.90,0.00,3.3
100,0.0386,98.69,3.4671,58.08,67.69,19.65,0.00,4.1
101,0.0422,98.55,3.2227,59.32,67.84,25.25,0.00,4.2
102,0.0335,98.83,3.2819,60.13,69.66,22.00,0.00,4.5
103,0.0361,98.65,3.2388,59.82,68.42,25.40,0.00,4.4
