epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.7332,40.17,3.2583,17.18,21.48,0.00,0.00,57.1
2,1.4272,47.62,2.8156,21.86,27.32,0.00,0.00,53.5
3,1.3794,49.96,2.8435,20.43,25.49,0.20,0.00,51.4
4,1.3201,52.37,2.8685,19.27,24.09,0.00,0.00,50.4
5,1.2700,54.38,2.6638,25.42,31.77,0.00,0.00,51.4
6,1.2434,55.42,3.0681,18.11,22.64,0.00,0.00,50.5
7,1.2160,57.00,2.6710,22.74,28.43,0.00,0.00,50.6
8,1.1985,57.63,2.7109,23.77,29.71,0.00,0.00,50.4
9,1.1758,58.46,2.8427,24.13,30.16,0.00,0.00,49.9
10,1.1628,59.49,2.7182,24.75,30.94,0.00,0.00,50.2
11,1.1405,60.26,2.7275,24.13,30.16,0.00,0.00,52.3
12,1.1277,60.60,2.5716,24.46,30.57,0.00,0.00,54.5
13,1.1328,60.70,2.5515,24.92,31.15,0.00,0.00,57.8
14,1.1046,61.68,2.8295,22.45,28.06,0.00,0.00,58.2
15,1.0872,62.21,2.5755,26.73,33.41,0.00,0.00,54.1
16,1.0843,62.01,2.5609,26.09,32.61,0.00,0.00,53.9
17,1.0722,62.85,2.4279,26.85,33.56,0.00,0.00,50.7
18,1.0542,63.20,2.4755,27.37,34.21,0.00,0.00,50.8
19,1.0454,63.75,2.5142,29.34,36.67,0.00,0.00,51.2
20,1.0372,64.23,2.6143,25.99,32.49,0.00,0.00,51.7
21,1.0151,65.05,2.4015,27.72,34.65,0.00,0.00,50.0
22,1.0121,65.18,2.2766,29.63,37.04,0.00,0.00,50.1
23,1.0091,65.04,2.4926,27.84,34.80,0.00,0.00,50.1
24,0.9890,66.03,2.5561,29.30,36.62,0.00,0.00,48.6
25,0.9808,66.61,2.4974,29.42,36.77,0.00,0.00,51.1
26,0.9707,66.84,2.4889,27.89,34.86,0.00,0.00,53.7
27,0.9621,66.77,2.3439,30.97,38.71,0.00,0.00,55.1
28,0.9485,67.52,2.5267,28.50,35.62,0.00,0.00,58.9
29,0.9508,67.88,2.3433,30.89,38.61,0.00,0.00,56.6
30,0.9323,67.87,2.2992,31.71,39.64,0.00,0.00,53.7
31,0.9368,67.91,2.3146,30.61,38.26,0.00,0.00,51.1
32,0.9291,67.95,2.2841,31.08,38.85,0.00,0.00,51.2
33,0.9316,68.11,2.3371,30.57,38.21,0.00,0.00,49.9
34,0.9146,68.36,2.4940,29.71,37.14,0.00,0.00,50.1
35,0.9003,69.16,2.2208,33.25,41.56,0.00,0.00,50.7
36,0.9064,68.89,2.2234,34.11,42.64,0.00,0.00,49.4
37,0.8999,69.39,2.2671,32.63,40.79,0.00,0.00,49.6
38,0.8905,69.53,2.4414,30.58,38.23,0.00,0.00,51.8
39,0.8869,69.58,2.2323,33.67,42.09,0.00,0.00,51.1
40,0.8823,69.76,2.2760,32.00,40.00,0.00,0.00,55.3
41,0.8734,70.17,2.4406,32.11,40.14,0.00,0.00,57.3
42,0.8687,70.52,2.4992,30.81,38.51,0.00,0.00,57.4
43,0.8563,70.56,2.3981,33.80,42.25,0.00,0.00,53.4
44,0.8564,70.94,2.4175,32.46,40.58,0.00,0.00,51.8
45,0.8589,70.74,2.3496,32.47,40.58,0.05,0.00,50.5
46,0.8364,71.47,2.3359,32.03,40.02,0.05,0.00,50.9
47,0.8398,71.27,2.2535,35.19,43.99,0.00,0.00,49.8
48,0.8295,71.53,2.3372,34.84,43.55,0.00,0.00,50.5
49,0.8275,72.10,2.3043,32.97,41.21,0.00,0.00,50.3
50,0.8255,71.66,2.3349,34.43,43.04,0.00,0.00,50.3
51,0.8126,72.35,2.1803,35.37,44.21,0.00,0.00,49.1
52,0.8089,72.18,2.2491,34.77,43.46,0.00,0.00,51.0
53,0.8140,72.01,2.3351,34.67,43.34,0.00,0.00,53.2
54,0.8053,72.40,2.1250,37.34,46.67,0.00,0.00,56.0
55,0.7845,72.79,2.1259,37.82,47.27,0.00,0.00,56.3
56,0.7904,72.91,2.0774,38.32,47.88,0.10,0.00,58.2
57,0.7848,73.13,2.0661,37.24,46.51,0.15,0.00,54.1
58,0.7644,73.75,2.2829,37.95,47.42,0.05,0.00,53.2
59,0.7744,73.09,2.3227,34.55,43.17,0.05,0.00,51.9
60,0.7677,73.67,2.2131,37.39,46.71,0.10,0.00,48.9
61,0.7539,73.98,2.1339,37.55,46.77,0.65,0.00,49.1
62,0.7604,74.02,2.1079,39.57,49.42,0.15,0.00,49.5
63,0.7488,74.27,1.9685,40.74,50.76,0.65,0.00,50.6
64,0.7382,74.80,2.1203,38.59,48.17,0.25,0.00,50.3
