epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.7052,41.55,3.1240,15.89,19.86,0.00,0.00,111.3
2,1.4396,48.58,2.7975,20.36,25.45,0.00,0.00,110.5
3,1.3691,51.56,2.7758,21.18,26.48,0.00,0.00,112.5
4,1.3237,52.93,2.6734,21.38,26.73,0.00,0.00,112.5
5,1.2570,55.38,2.6380,23.68,29.60,0.00,0.00,111.3
6,1.2414,56.55,2.9665,22.74,28.43,0.00,0.00,113.4
7,1.2070,58.37,2.7480,22.84,28.55,0.00,0.00,111.5
8,1.1632,59.59,2.6897,24.19,30.24,0.00,0.00,111.7
9,1.1408,60.21,2.7679,24.18,30.23,0.00,0.00,113.3
10,1.1060,61.67,2.8398,25.04,31.30,0.00,0.00,111.7
11,1.0826,62.78,2.5556,26.56,33.20,0.00,0.00,111.5
12,1.0593,63.56,2.5180,27.56,34.45,0.00,0.00,112.0
13,1.0220,64.64,2.4949,27.98,34.98,0.00,0.00,110.9
14,1.0163,65.32,2.5536,27.75,34.69,0.00,0.00,112.3
15,0.9910,65.88,2.5459,27.40,34.25,0.00,0.00,114.7
16,0.9573,67.05,2.5383,28.07,35.09,0.00,0.00,114.0
17,0.9440,67.78,2.4245,29.01,36.26,0.00,0.00,81.2
18,0.9236,68.63,2.3186,30.70,38.38,0.00,0.00,77.7
