epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.7413,39.55,2.8846,19.54,24.43,0.00,0.00,246.8
2,1.4571,46.82,3.0502,17.59,21.99,0.00,0.00,51.4
3,1.3587,51.62,2.9082,18.40,23.00,0.00,0.00,49.9
4,1.3398,51.86,3.1336,19.03,23.79,0.00,0.00,49.9
5,1.3088,53.22,2.7552,19.91,24.89,0.00,0.00,47.3
6,1.2836,54.27,2.8185,23.45,29.31,0.00,0.00,46.3
7,1.2481,56.09,2.8528,23.72,29.65,0.00,0.00,47.2
8,1.2171,56.97,2.6339,23.72,29.65,0.00,0.00,44.8
9,1.2304,57.34,2.7769,22.91,28.64,0.00,0.00,46.1
10,1.2049,57.67,2.8828,24.56,30.70,0.00,0.00,45.6
11,1.1962,57.94,2.8201,23.16,28.95,0.00,0.00,46.0
12,1.1852,58.63,2.6766,24.17,30.21,0.00,0.00,47.0
13,1.1525,59.82,2.4943,26.81,33.51,0.00,0.00,45.9
14,1.1425,60.20,2.7698,25.45,31.81,0.00,0.00,46.7
15,1.1368,60.94,2.7399,24.55,30.69,0.00,0.00,45.4
16,1.1297,60.89,2.6810,25.92,32.40,0.00,0.00,45.7
17,1.1351,60.79,2.5549,26.57,33.21,0.00,0.00,48.4
18,1.1062,61.57,2.5778,26.28,32.85,0.00,0.00,47.0
19,1.1010,62.09,2.6094,25.27,31.59,0.00,0.00,49.3
20,1.0750,62.52,2.6206,26.24,32.80,0.00,0.00,50.4
21,1.0533,63.76,2.6031,27.22,34.02,0.00,0.00,51.5
22,1.0496,63.75,2.5667,26.55,33.19,0.00,0.00,53.1
23,1.0359,64.19,2.4517,28.36,35.45,0.00,0.00,51.1
24,1.0274,64.56,2.6565,26.05,32.56,0.00,0.00,49.2
25,1.0216,64.90,2.5082,26.27,32.84,0.00,0.00,48.4
26,1.0022,65.77,2.7117,26.52,33.15,0.00,0.00,49.0
27,1.0091,65.42,2.4030,28.83,36.04,0.00,0.00,47.1
28,0.9931,66.02,2.4070,29.97,37.46,0.00,0.00,48.6
29,0.9814,66.45,2.4872,29.01,36.26,0.00,0.00,46.8
30,0.9739,66.73,2.4738,29.45,36.81,0.00,0.00,45.0
31,0.9749,66.31,2.3957,30.23,37.79,0.00,0.00,44.8
32,0.9564,67.27,2.4644,29.31,36.64,0.00,0.00,46.5
33,0.9589,67.36,2.4180,30.15,37.69,0.00,0.00,45.0
34,0.9486,67.36,2.4924,28.51,35.64,0.00,0.00,46.0
35,0.9440,67.52,2.5396,28.72,35.90,0.00,0.00,46.5
36,0.9439,67.35,2.3957,31.05,38.81,0.00,0.00,49.2
37,0.9304,68.17,2.4141,30.41,38.01,0.00,0.00,47.5
38,0.9216,68.47,2.3064,31.46,39.33,0.00,0.00,48.8
39,0.9150,68.86,2.3362,31.13,38.91,0.00,0.00,50.5
40,0.9147,68.84,2.3916,32.03,40.04,0.00,0.00,51.7
41,0.9103,69.01,2.3324,32.50,40.62,0.00,0.00,51.8
42,0.8934,69.56,2.4583,30.80,38.50,0.00,0.00,49.8
43,0.8920,69.78,2.2388,34.66,43.33,0.00,0.00,48.7
44,0.8905,69.69,2.2504,33.07,41.34,0.00,0.00,48.7
45,0.8734,70.18,2.3493,32.50,40.62,0.00,0.00,45.9
46,0.8819,70.00,2.2843,33.31,41.64,0.00,0.00,47.2
47,0.8721,70.42,2.2969,34.07,42.59,0.00,0.00,46.1
48,0.8618,70.45,2.2145,35.27,44.09,0.00,0.00,46.7
49,0.8478,71.36,2.3325,32.08,40.10,0.00,0.00,45.7
50,0.8369,71.49,2.4137,32.32,40.40,0.00,0.00,45.3
51,0.8389,71.72,2.3584,32.80,41.00,0.00,0.00,45.8
52,0.8306,71.64,2.2275,34.95,43.69,0.00,0.00,45.0
53,0.8251,72.05,2.3240,33.92,42.40,0.00,0.00,45.7
54,0.8198,71.88,2.3044,33.72,42.15,0.00,0.00,46.0
55,0.8117,72.55,2.2735,35.62,44.52,0.00,0.00,48.7
56,0.8005,73.17,2.3267,33.90,42.38,0.00,0.00,50.9
57,0.7975,72.80,2.2274,35.68,44.60,0.00,0.00,51.2
58,0.7900,73.03,2.1403,37.04,46.30,0.00,0.00,50.3
59,0.7891,73.06,2.2505,34.88,43.60,0.00,0.00,48.4
60,0.7814,73.70,2.3408,33.89,42.36,0.00,0.00,48.5
