epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.6762,40.19,3.1403,13.23,16.54,0.00,0.00,42.7
2,1.4234,47.42,3.0608,17.69,22.11,0.00,0.00,43.1
3,1.3486,51.81,2.9062,20.00,25.00,0.00,0.00,43.1
4,1.2909,54.06,2.7770,21.66,27.07,0.00,0.00,42.9
5,1.2512,55.95,2.6542,21.20,26.50,0.00,0.00,43.1
6,1.2064,57.64,2.7253,23.19,28.99,0.00,0.00,43.2
7,1.1750,58.50,2.7985,22.67,28.34,0.00,0.00,42.7
8,1.1400,60.10,2.8145,24.41,30.51,0.00,0.00,43.2
9,1.1207,61.34,2.6873,25.21,31.51,0.00,0.00,43.2
10,1.0837,62.80,2.7591,24.45,30.56,0.00,0.00,43.2
11,1.0634,63.14,2.7076,25.88,32.35,0.00,0.00,43.0
12,1.0463,63.91,2.5431,26.82,33.52,0.00,0.00,43.2
13,1.0238,64.95,2.4259,29.82,37.27,0.00,0.00,43.2
14,1.0077,65.03,2.5653,26.58,33.23,0.00,0.00,42.7
15,0.9757,66.57,2.5064,28.39,35.49,0.00,0.00,43.1
16,0.9692,67.07,2.5017,28.77,35.96,0.00,0.00,43.1
17,0.9476,67.59,2.4264,29.60,37.00,0.00,0.00,42.9
