epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.7012,40.15,3.1168,18.23,22.79,0.00,0.00,250.3
2,1.4390,48.03,2.7898,19.42,24.27,0.00,0.00,52.4
3,1.3646,51.45,2.6835,20.54,25.68,0.00,0.00,53.1
4,1.3105,53.60,2.8877,16.28,20.35,0.00,0.00,52.1
5,1.2841,54.11,2.8097,22.07,27.59,0.00,0.00,50.7
6,1.2493,55.53,3.1009,22.43,28.04,0.00,0.00,47.9
7,1.2303,56.85,3.0609,23.27,29.09,0.00,0.00,48.1
8,1.2090,58.22,2.9132,23.70,29.62,0.00,0.00,48.5
9,1.1843,58.90,2.6907,23.94,29.93,0.00,0.00,48.4
10,1.1750,59.54,2.7210,22.36,27.95,0.00,0.00,48.4
11,1.1600,59.90,2.9025,24.16,30.20,0.00,0.00,48.7
12,1.1361,60.40,2.8301,23.22,29.02,0.00,0.00,47.0
13,1.1238,61.03,2.5685,24.41,30.51,0.00,0.00,47.5
14,1.1156,61.47,2.7367,24.65,30.81,0.00,0.00,47.4
15,1.1114,61.70,2.6202,27.13,33.91,0.00,0.00,47.7
16,1.1048,61.99,2.7807,25.85,32.31,0.00,0.00,49.0
17,1.0770,63.06,2.7287,26.22,32.77,0.00,0.00,50.6
18,1.0712,62.72,2.6993,25.34,31.68,0.00,0.00,51.8
19,1.0633,63.35,2.6700,25.93,32.41,0.00,0.00,54.5
20,1.0419,64.06,2.6240,26.44,33.05,0.00,0.00,56.1
21,1.0483,63.35,2.5577,28.39,35.49,0.00,0.00,55.1
22,1.0341,64.07,2.6218,26.45,33.06,0.00,0.00,53.2
23,1.0261,64.44,2.5896,29.46,36.83,0.00,0.00,51.3
24,1.0358,64.52,2.6561,28.80,36.00,0.00,0.00,51.6
25,1.0017,65.44,2.5305,28.23,35.29,0.00,0.00,50.3
26,0.9981,65.53,2.4001,30.49,38.11,0.00,0.00,49.3
27,0.9965,66.04,2.5473,27.49,34.36,0.00,0.00,48.4
28,1.0029,65.63,2.5297,28.31,35.39,0.00,0.00,48.4
29,0.9861,65.85,2.4810,29.07,36.34,0.00,0.00,49.0
30,0.9656,66.96,2.3855,30.36,37.95,0.00,0.00,49.4
31,0.9598,67.05,2.7904,25.79,32.24,0.00,0.00,47.7
32,0.9554,66.86,2.5513,30.53,38.16,0.00,0.00,48.8
33,0.9510,66.73,2.5430,31.33,39.16,0.00,0.00,48.8
34,0.9454,67.78,2.4557,29.82,37.27,0.00,0.00,49.4
35,0.9340,68.04,2.2639,32.11,40.14,0.00,0.00,50.3
36,0.9307,68.10,2.5328,29.66,37.08,0.00,0.00,52.4
37,0.9355,67.38,2.4343,31.06,38.83,0.00,0.00,54.0
38,0.9221,68.65,2.4427,31.21,39.01,0.00,0.00,56.4
39,0.9191,68.45,2.4638,30.73,38.41,0.00,0.00,55.1
40,0.9112,68.49,2.6173,28.55,35.69,0.00,0.00,53.7
41,0.9039,68.83,2.4134,30.73,38.41,0.00,0.00,50.6
42,0.8902,69.06,2.2504,34.12,42.65,0.00,0.00,49.3
43,0.8891,69.47,2.3602,32.96,41.20,0.00,0.00,48.9
44,0.8939,69.29,2.4722,30.86,38.58,0.00,0.00,48.8
45,0.8788,69.66,2.3543,30.91,38.64,0.00,0.00,47.7
46,0.8805,69.50,2.3706,34.80,43.50,0.00,0.00,48.1
47,0.8638,70.03,2.4607,32.39,40.49,0.00,0.00,48.2
48,0.8625,70.47,2.3323,33.25,41.56,0.00,0.00,48.8
49,0.8615,70.18,2.2197,34.65,43.31,0.00,0.00,49.1
50,0.8477,71.42,2.3230,34.20,42.75,0.00,0.00,48.3
51,0.8479,71.02,2.4357,30.95,38.69,0.00,0.00,49.8
52,0.8333,71.05,2.2536,35.23,44.02,0.05,0.00,52.1
53,0.8329,71.29,2.3382,34.58,43.23,0.00,0.00,53.4
54,0.8310,71.25,2.3567,34.23,42.79,0.00,0.00,55.8
55,0.8155,72.14,2.2877,36.19,45.24,0.00,0.00,55.9
56,0.8119,71.66,2.2735,35.05,43.80,0.05,0.00,52.6
