epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3405,53.46,2.6950,22.41,28.01,0.00,0.00,13.9
2,1.3505,53.63,3.2502,17.37,21.71,0.00,0.00,13.6
3,1.2333,56.87,2.7402,24.53,30.66,0.00,0.00,13.5
4,1.2049,58.14,2.7724,20.31,25.39,0.00,0.00,13.6
5,1.1853,58.12,2.5976,26.23,32.79,0.00,0.00,13.5
6,1.2192,56.17,2.7125,23.40,29.25,0.00,0.00,13.5
7,1.1911,58.30,2.5964,26.44,33.05,0.00,0.00,13.5
8,1.1569,60.03,2.6832,21.69,27.11,0.00,0.00,13.5
9,1.1442,59.46,2.5537,26.93,33.66,0.00,0.00,13.5
10,1.1044,62.03,2.6000,28.39,35.49,0.00,0.00,13.5
11,1.0899,62.10,2.8169,24.69,30.86,0.00,0.00,13.5
12,1.1024,61.91,2.7621,23.69,29.61,0.00,0.00,13.5
13,1.0833,62.54,2.2948,30.28,37.85,0.00,0.00,13.5
14,1.0595,63.33,2.7927,23.14,28.93,0.00,0.00,13.6
15,1.0536,63.80,2.7116,25.68,32.10,0.00,0.00,13.5
16,1.0247,64.88,2.7450,24.10,30.12,0.00,0.00,13.6
17,1.0178,64.67,2.6115,27.62,34.52,0.00,0.00,13.6
18,1.0133,65.22,2.5789,25.55,31.94,0.00,0.00,13.6
19,1.0157,64.76,2.5498,28.32,35.40,0.00,0.00,13.6
20,1.0000,66.19,2.6301,25.68,32.10,0.00,0.00,13.6
21,0.9982,65.51,2.5662,26.33,32.91,0.00,0.00,13.5
22,0.9886,66.31,2.4604,31.40,39.25,0.00,0.00,13.6
23,0.9865,66.18,2.4718,29.34,36.67,0.00,0.00,13.6
24,0.9581,67.00,2.6659,26.81,33.51,0.00,0.00,13.5
25,0.9573,67.20,2.5207,26.56,33.20,0.00,0.00,13.5
26,0.9395,67.72,2.3526,30.41,38.01,0.00,0.00,13.5
27,0.9321,68.30,2.3256,30.36,37.95,0.00,0.00,13.5
28,0.9400,68.27,2.4108,28.56,35.70,0.00,0.00,13.5
29,0.9368,67.91,2.5298,29.92,37.40,0.00,0.00,13.6
30,0.9210,68.59,2.2425,32.13,40.16,0.00,0.00,13.6
31,0.9151,68.41,2.3742,31.14,38.92,0.00,0.00,13.4
32,0.9074,68.57,2.5817,28.54,35.67,0.00,0.00,13.5
33,0.8991,69.09,2.3518,30.99,38.74,0.00,0.00,13.5
34,0.8932,69.38,2.0966,34.12,42.65,0.00,0.00,13.5
35,0.8804,69.72,2.1191,33.17,41.46,0.00,0.00,13.5
36,0.8875,69.55,2.3244,31.81,39.76,0.00,0.00,13.6
37,0.8800,69.53,2.1947,32.24,40.30,0.00,0.00,13.6
38,0.8751,70.10,2.3583,31.77,39.71,0.00,0.00,13.5
39,0.8639,70.31,2.1935,34.40,43.00,0.00,0.00,13.5
40,0.8561,70.72,2.3105,31.31,39.14,0.00,0.00,13.5
41,0.8510,70.67,2.0902,33.88,42.35,0.00,0.00,13.5
42,0.8456,70.89,2.3396,32.98,41.23,0.00,0.00,13.6
43,0.8523,70.39,2.2685,32.44,40.55,0.00,0.00,13.5
44,0.8216,71.94,2.0311,34.64,43.12,0.70,0.00,13.6
45,0.8267,71.51,2.2986,32.94,41.17,0.00,0.00,13.6
46,0.8190,72.08,2.1787,35.11,43.89,0.00,0.00,13.6
47,0.8170,71.79,2.2050,36.37,45.46,0.00,0.00,13.5
48,0.8128,72.16,2.3536,30.45,38.06,0.00,0.00,13.6
49,0.7931,72.29,2.1311,36.47,45.56,0.10,0.00,13.6
50,0.7921,72.45,2.1351,35.09,43.77,0.35,0.00,13.6
51,0.7892,72.81,2.0236,36.60,45.70,0.20,0.00,13.5
52,0.7843,72.92,2.1461,36.96,46.19,0.05,0.00,13.6
53,0.7804,73.34,2.0862,36.30,45.33,0.20,0.00,13.6
54,0.7714,73.32,1.9153,39.77,49.12,2.35,0.00,13.5
55,0.7597,74.10,2.2616,34.76,43.39,0.25,0.00,13.5
56,0.7626,73.80,1.9862,38.69,47.84,2.10,0.00,13.6
57,0.7631,73.77,2.0415,37.89,47.30,0.25,0.00,13.6
58,0.7596,73.75,1.9843,39.02,48.50,1.10,0.00,13.6
59,0.7447,74.75,2.1215,36.91,46.04,0.40,0.00,13.6
60,0.7446,74.83,1.9021,41.03,50.85,1.75,0.00,13.5
61,0.7394,74.65,2.1459,36.68,45.42,1.70,0.00,13.5
62,0.7248,74.54,2.2068,36.65,45.60,0.85,0.00,13.6
63,0.7254,74.69,1.9655,38.95,47.73,3.85,0.00,13.5
64,0.7187,75.14,1.8472,41.68,50.64,5.85,0.00,13.6
65,0.7187,75.43,1.9425,39.94,49.42,2.00,0.00,13.6
66,0.7057,75.50,1.8601,42.46,52.42,2.60,0.00,13.6
67,0.7031,76.12,1.8664,40.44,49.80,3.00,0.00,13.6
68,0.6913,76.19,1.9450,40.45,50.20,1.45,0.00,13.6
69,0.6993,75.76,1.9055,42.67,52.99,1.40,0.00,13.7
70,0.6842,76.45,1.8257,42.79,52.75,2.95,0.00,13.6
71,0.6840,76.29,2.0694,40.12,49.44,2.85,0.00,13.5
72,0.6763,76.45,1.8095,43.37,53.36,3.40,0.00,13.6
73,0.6715,76.97,2.0208,38.94,47.88,3.20,0.00,13.5
74,0.6704,76.95,1.9402,41.28,51.06,2.15,0.00,13.5
75,0.6682,76.37,1.8311,43.84,53.41,5.55,0.00,13.5
76,0.6605,77.12,1.8564,41.89,51.76,2.40,0.00,13.5
77,0.6571,77.08,1.8999,40.79,49.69,5.20,0.00,13.5
78,0.6411,77.70,1.8844,43.73,53.89,3.10,0.00,13.5
79,0.6460,77.87,1.9702,43.33,53.76,1.60,0.00,13.6
80,0.6417,78.18,1.9139,42.34,52.66,1.05,0.00,13.5
81,0.6434,77.54,1.9862,42.34,52.14,3.15,0.00,13.5
82,0.6301,78.27,1.8031,43.67,53.60,3.95,0.00,13.5
83,0.6257,78.41,1.7315,45.00,54.45,7.20,0.00,13.6
84,0.6288,78.33,1.7747,44.83,55.20,3.35,0.00,13.5
85,0.6110,78.45,1.8733,43.65,53.17,5.55,0.00,13.6
86,0.6185,78.28,2.0082,41.95,51.96,1.90,0.00,13.6
87,0.6061,78.98,1.7578,46.07,55.91,6.70,0.00,13.5
88,0.6064,78.79,1.8559,44.65,54.77,4.15,0.00,13.6
89,0.6042,78.81,1.8677,41.95,51.05,5.55,0.00,13.6
90,0.5992,79.41,2.0120,42.37,52.46,2.00,0.00,13.6
91,0.5842,79.61,2.0042,42.40,52.40,2.40,0.00,13.6
92,0.5852,79.78,1.8864,43.45,53.50,3.25,0.00,13.6
93,0.5836,79.82,1.8161,45.15,55.10,5.35,0.00,13.7
94,0.5811,79.66,1.9316,44.05,54.74,1.30,0.00,13.7
95,0.5765,79.75,2.0791,42.94,53.23,1.80,0.00,13.6
96,0.5651,79.95,1.7782,46.61,55.81,9.80,0.00,13.6
97,0.5704,80.11,1.9770,42.99,52.75,3.95,0.00,13.6
98,0.5551,80.73,1.8097,47.02,56.40,9.50,0.00,13.6
99,0.5560,80.24,1.8976,45.75,55.85,5.35,0.00,13.5
100,0.5547,80.59,2.1173,43.79,53.45,5.15,0.00,13.5
101,0.5480,80.52,1.8559,43.89,53.31,6.20,0.00,13.5
102,0.5358,80.77,1.8090,47.58,57.60,7.50,0.00,13.6
103,0.5420,80.94,1.7798,47.19,55.40,14.35,0.00,13.6
104,0.5287,81.75,1.8658,45.09,54.14,8.90,0.00,13.6
105,0.5270,81.48,1.7489,48.11,58.12,8.05,0.00,13.5
106,0.5343,81.38,1.9041,45.17,54.19,9.10,0.00,13.6
107,0.5239,81.65,2.0207,43.37,52.21,8.00,0.00,13.6
108,0.5194,81.67,1.8691,47.14,57.35,6.30,0.00,13.6
109,0.5182,81.77,1.7121,48.93,58.27,11.55,0.00,13.5
110,0.5035,82.43,1.8503,47.65,57.19,9.50,0.00,13.6
111,0.4981,82.66,1.8212,47.55,56.96,9.90,0.00,13.6
112,0.4954,82.65,1.8774,47.34,55.08,16.40,0.00,13.6
113,0.4838,83.00,1.8859,46.47,56.11,7.90,0.00,13.6
114,0.4920,82.94,1.8969,47.15,56.48,9.85,0.00,13.8
115,0.4866,82.74,1.8426,48.33,58.15,9.05,0.00,13.5
116,0.4835,82.71,1.9664,46.19,55.48,9.05,0.00,13.5
117,0.4670,83.58,2.0607,46.21,55.09,10.70,0.00,13.5
118,0.4628,83.85,1.8834,49.49,59.36,10.00,0.00,13.6
119,0.4680,83.47,1.9917,45.85,55.10,8.85,0.00,13.6
120,0.4532,83.68,1.7448,50.21,58.06,18.80,0.00,13.6
121,0.4450,84.19,1.8238,49.48,58.35,14.00,0.00,13.6
122,0.4523,84.02,1.8254,48.82,57.36,14.65,0.00,13.6
123,0.4432,84.31,1.8447,49.43,57.23,18.25,0.00,13.6
124,0.4408,84.30,1.9808,47.86,56.40,13.70,0.00,13.6
125,0.4331,84.30,1.9220,49.60,57.88,16.50,0.00,13.6
126,0.4356,84.69,1.8712,48.60,57.15,14.40,0.00,13.6
127,0.4251,85.02,2.0989,47.28,56.29,11.25,0.00,13.6
128,0.4121,85.46,1.9492,47.52,55.84,14.25,0.00,13.6
129,0.4085,85.59,2.0074,48.59,57.45,13.15,0.00,13.6
130,0.4118,85.52,1.9716,47.73,56.05,14.45,0.00,13.5
131,0.4014,85.72,2.0956,47.05,56.94,7.50,0.00,13.6
132,0.4039,85.64,1.9454,48.54,57.58,12.40,0.00,13.6
133,0.3986,85.69,2.0439,47.04,55.99,11.25,0.00,13.6
134,0.3838,86.61,2.0958,48.00,56.76,12.95,0.00,13.5
135,0.3915,86.03,2.0579,48.46,57.44,12.55,0.00,13.5
136,0.3801,86.22,2.0789,47.28,56.90,8.80,0.00,13.5
137,0.3756,86.84,2.1903,46.91,56.40,8.95,0.00,13.6
