epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.7900,38.26,3.1662,10.00,12.50,0.00,0.00,41.6
2,1.5476,42.21,2.9752,15.02,18.77,0.00,0.00,41.6
3,1.4251,47.36,2.8643,18.89,23.61,0.00,0.00,42.4
4,1.3721,49.94,2.7825,19.29,24.11,0.00,0.00,42.3
5,1.3030,53.31,2.7338,23.34,29.18,0.00,0.00,42.8
6,1.2854,53.55,2.7183,24.06,30.07,0.00,0.00,43.3
7,1.2461,55.72,2.9229,19.88,24.85,0.00,0.00,42.3
8,1.2275,56.12,3.0647,22.13,27.66,0.00,0.00,42.9
9,1.2157,56.81,3.1362,18.77,23.46,0.00,0.00,42.9
10,1.1881,58.16,2.7125,26.06,32.58,0.00,0.00,42.9
11,1.1622,58.62,2.7414,24.27,30.34,0.00,0.00,42.7
12,1.1315,60.70,2.7263,24.12,30.15,0.00,0.00,42.9
13,1.1196,61.33,2.7102,24.99,31.24,0.00,0.00,42.9
14,1.1472,60.33,2.5339,23.08,28.85,0.00,0.00,42.4
15,1.1030,61.48,2.6233,25.94,32.42,0.00,0.00,42.9
16,1.1018,61.99,2.6669,24.16,30.20,0.00,0.00,42.9
17,1.0884,62.16,2.4795,26.86,33.58,0.00,0.00,42.7
18,1.0814,62.12,2.6620,24.81,31.01,0.00,0.00,42.9
19,1.0805,62.16,2.6337,24.97,31.21,0.00,0.00,42.9
20,1.0779,62.77,2.4694,28.37,35.46,0.00,0.00,42.9
21,1.0576,63.21,2.6726,27.68,34.60,0.00,0.00,42.4
22,1.0566,63.74,2.3574,29.87,37.34,0.00,0.00,42.8
23,1.0440,64.11,2.8578,25.59,31.99,0.00,0.00,42.9
24,1.0437,64.05,2.4715,27.61,34.51,0.00,0.00,42.7
25,1.0404,63.86,2.3739,27.81,34.76,0.00,0.00,42.9
26,1.0229,64.91,2.2387,30.94,38.67,0.00,0.00,42.9
27,1.0283,64.24,2.5038,27.28,34.10,0.00,0.00,42.5
28,1.0261,64.85,2.2551,29.09,36.36,0.00,0.00,42.9
29,1.0217,64.40,2.3935,29.60,37.00,0.00,0.00,42.9
30,1.0011,65.85,2.3288,30.32,37.90,0.00,0.00,42.9
31,0.9925,65.67,2.5702,27.99,34.99,0.00,0.00,42.7
32,1.0006,65.50,2.3123,29.20,36.49,0.05,0.00,42.9
33,0.9794,66.13,2.4475,27.17,33.96,0.00,0.00,42.9
34,0.9783,66.52,2.4119,30.99,38.74,0.00,0.00,42.5
35,0.9724,66.47,2.4767,29.95,37.44,0.00,0.00,43.1
36,0.9724,66.78,2.6444,28.15,35.19,0.00,0.00,42.9
37,0.9726,66.69,2.5134,28.86,36.08,0.00,0.00,42.7
38,0.9694,66.06,2.3026,33.97,42.46,0.00,0.00,43.1
39,0.9534,66.79,2.5802,30.07,37.59,0.00,0.00,43.1
40,0.9469,67.58,2.3586,29.75,37.19,0.00,0.00,42.8
41,0.9568,66.87,2.4515,32.16,40.19,0.05,0.00,42.5
42,0.9225,68.65,2.1413,35.43,44.29,0.00,0.00,42.9
43,0.9294,68.10,2.5346,31.23,39.04,0.00,0.00,42.9
44,0.9305,67.62,2.5967,29.74,37.17,0.00,0.00,42.7
45,0.9180,68.37,2.4394,30.15,37.69,0.00,0.00,43.0
46,0.9127,68.78,2.4545,30.64,38.30,0.00,0.00,42.9
47,0.9133,68.14,2.2924,32.05,40.06,0.00,0.00,42.5
48,0.9096,68.66,1.9538,35.78,44.64,0.35,0.00,42.9
49,0.8948,69.05,2.1885,33.12,41.38,0.10,0.00,42.9
50,0.9009,68.98,2.2946,33.98,42.48,0.00,0.00,42.9
51,0.8991,68.98,2.5114,30.32,37.89,0.05,0.00,42.8
52,0.8988,68.95,2.3013,35.52,44.40,0.00,0.00,42.9
53,0.8836,69.41,2.1904,33.28,41.58,0.10,0.00,42.9
54,0.8781,69.71,2.2076,35.64,44.50,0.20,0.00,42.5
55,0.8848,69.48,2.4566,32.05,40.00,0.25,0.00,42.9
56,0.8736,69.51,2.1908,34.27,42.81,0.10,0.00,42.9
57,0.8628,70.22,2.2906,34.33,42.91,0.00,0.00,42.7
58,0.8837,68.99,2.4330,32.49,40.61,0.00,0.00,42.9
59,0.8669,70.30,2.1827,35.69,44.60,0.05,0.00,42.9
60,0.8712,69.72,2.3925,33.46,41.81,0.05,0.00,42.8
61,0.8587,70.01,2.2665,33.75,42.11,0.30,0.00,42.4
62,0.8507,70.30,2.2921,33.29,41.60,0.05,0.00,43.0
63,0.8536,70.73,2.2231,33.80,42.17,0.30,0.00,42.9
64,0.8535,70.63,2.4175,33.10,41.38,0.00,0.00,42.8
65,0.8501,70.93,2.2096,34.79,43.40,0.35,0.00,42.9
66,0.8517,70.90,2.5146,33.71,42.12,0.05,0.00,42.9
67,0.8461,70.69,2.0997,35.81,44.65,0.45,0.00,42.5
68,0.8365,70.90,2.3039,37.13,46.41,0.00,0.00,42.9
69,0.8505,70.69,2.2294,36.96,46.20,0.00,0.00,42.9
70,0.8243,71.76,2.1633,35.45,43.95,1.45,0.00,43.0
71,0.8323,70.72,2.2355,35.76,44.67,0.10,0.00,42.7
72,0.8319,71.24,2.1047,34.85,43.34,0.90,0.00,42.9
73,0.8229,71.66,2.1242,37.13,46.41,0.00,0.00,42.9
74,0.8090,71.79,2.3358,36.08,45.09,0.05,0.00,42.5
75,0.8118,71.71,2.3986,37.13,46.41,0.00,0.00,42.9
76,0.8152,71.71,2.2112,35.75,44.56,0.50,0.00,43.0
77,0.8135,71.59,2.2281,34.25,42.55,1.05,0.00,42.8
78,0.8016,72.31,2.1365,39.34,48.99,0.75,0.00,43.0
79,0.7947,72.46,1.9120,40.00,49.23,3.10,0.00,42.9
80,0.7986,72.13,2.2219,36.34,45.26,0.65,0.00,43.0
81,0.7996,72.14,2.1125,38.29,47.75,0.45,0.00,42.5
82,0.7788,73.05,2.1975,38.73,48.24,0.70,0.00,43.0
83,0.7724,73.20,1.8831,42.42,52.19,3.35,0.00,43.0
84,0.7759,73.11,2.1380,38.20,47.59,0.65,0.00,42.8
85,0.7622,73.43,1.8646,43.18,53.31,2.65,0.00,42.9
86,0.7694,73.03,2.1068,39.81,49.67,0.35,0.00,43.0
87,0.7614,73.57,2.0529,39.17,48.84,0.50,0.00,42.4
88,0.7505,73.68,2.0630,41.91,52.34,0.20,0.00,43.0
89,0.7503,73.98,2.2096,41.55,51.91,0.10,0.00,42.9
90,0.7599,73.39,1.9377,40.59,49.01,6.90,0.00,43.0
91,0.7416,74.25,1.9282,42.09,52.16,1.80,0.00,42.7
92,0.7495,74.12,1.9630,41.27,51.31,1.10,0.00,43.0
93,0.7422,74.15,1.9246,42.20,51.33,5.70,0.00,43.1
94,0.7380,74.40,1.8638,42.67,52.17,4.65,0.00,42.6
95,0.7340,74.13,2.2065,36.60,45.29,1.85,0.00,43.0
96,0.7296,74.91,1.9627,42.68,52.56,3.15,0.00,42.9
97,0.7178,74.83,1.9305,41.22,50.81,2.85,0.00,42.8
98,0.7155,75.14,2.1313,40.75,50.14,3.20,0.00,43.0
99,0.7064,75.36,2.0303,42.41,52.38,2.55,0.00,43.0
100,0.7007,75.67,1.7913,44.08,51.70,13.60,0.00,42.9
101,0.7127,75.27,2.0315,38.97,48.10,2.45,0.00,42.5
102,0.7027,75.67,2.0657,40.70,50.08,3.20,0.00,43.0
103,0.6942,75.50,1.9487,44.48,55.02,2.30,0.00,42.9
104,0.6993,75.87,2.1315,40.24,50.06,0.95,0.00,42.7
105,0.6920,76.04,1.8688,43.48,53.48,3.50,0.00,43.0
106,0.6829,76.11,2.2530,38.63,47.77,2.05,0.00,42.9
107,0.6793,76.01,2.0863,42.78,53.23,1.00,0.00,42.5
108,0.6563,76.74,2.0088,40.27,48.94,5.60,0.00,42.9
109,0.6673,76.47,1.9533,45.57,56.34,2.50,0.00,42.9
110,0.6615,76.61,1.9473,45.15,54.71,6.90,0.00,42.9
111,0.6502,77.20,2.2837,41.30,51.38,1.00,0.00,42.7
112,0.6480,77.01,2.0986,43.51,53.48,3.65,0.00,43.0
113,0.6461,77.32,2.0226,43.19,52.36,6.50,0.00,43.0
114,0.6451,77.19,2.1652,42.95,53.29,1.60,0.00,42.6
115,0.6338,77.44,1.7994,46.11,53.85,15.15,0.00,42.9
116,0.6229,77.95,1.9996,43.82,53.67,4.40,0.00,42.9
117,0.6301,77.71,2.1427,45.07,54.12,8.85,0.00,42.7
118,0.6162,78.54,2.1902,42.82,52.24,5.15,0.00,42.9
119,0.6123,78.53,2.1118,42.51,51.54,6.40,0.00,42.9
120,0.6076,78.59,2.2536,41.52,51.55,1.40,0.00,42.9
121,0.6060,78.45,2.2588,44.05,54.04,4.10,0.00,42.5
122,0.5946,79.13,1.9293,44.93,53.41,11.00,0.00,42.9
123,0.5919,79.43,2.2333,42.10,51.49,4.55,0.00,42.9
124,0.5851,79.21,1.9697,46.66,54.75,14.30,0.00,42.7
125,0.5722,79.56,1.8463,47.06,55.23,14.40,0.00,43.0
126,0.5739,79.47,2.0974,45.34,54.15,10.10,0.00,43.0
127,0.5757,79.61,2.0436,44.33,54.34,4.30,0.00,42.5
128,0.5720,79.66,1.9617,47.19,55.50,13.95,0.00,42.9
129,0.5538,80.44,2.1812,45.38,55.79,3.75,0.00,43.0
130,0.5417,80.63,2.0400,45.36,54.38,9.30,0.00,43.0
131,0.5473,80.37,2.0223,45.74,55.81,5.45,0.00,42.7
132,0.5405,80.76,1.9726,47.95,56.83,12.45,0.00,42.9
133,0.5312,81.03,2.1221,45.60,54.74,9.05,0.00,42.9
134,0.5292,81.44,2.0989,46.65,55.56,11.00,0.00,42.5
135,0.5057,81.97,2.1806,47.14,55.88,12.20,0.00,43.0
136,0.5035,82.36,1.9904,48.64,56.59,16.85,0.00,42.9
137,0.4986,82.46,2.0733,49.18,55.94,22.15,0.00,42.7
138,0.4940,82.23,1.9339,49.05,55.85,21.85,0.00,43.0
139,0.4888,82.57,2.0424,48.43,57.11,13.70,0.00,42.9
140,0.4827,82.61,2.0078,47.23,55.05,15.95,0.00,42.9
141,0.4737,83.01,2.0797,49.15,56.38,20.25,0.00,42.5
142,0.4721,83.15,2.0785,49.33,59.02,10.55,0.00,43.0
143,0.4563,83.40,2.0838,49.25,56.89,18.70,0.00,43.1
144,0.4579,83.62,2.0581,48.46,55.67,19.60,0.00,42.7
145,0.4495,84.46,2.1957,48.72,57.35,14.20,0.00,42.9
146,0.4377,84.14,2.2612,48.00,56.81,12.75,0.00,43.0
147,0.4291,84.43,2.2715,46.90,56.05,10.30,0.00,42.6
148,0.4131,85.14,2.1594,48.72,55.99,19.65,0.00,43.0
149,0.4258,84.73,2.1417,50.08,59.99,10.45,0.00,42.9
150,0.4057,85.29,2.1104,51.03,59.61,16.70,0.00,42.9
151,0.4053,85.47,2.3674,47.10,56.80,8.30,0.00,42.7
152,0.3993,85.47,2.2981,48.59,56.79,15.80,0.00,42.9
153,0.3825,86.15,2.4728,46.48,55.34,11.05,0.00,50.9
154,0.3805,86.10,2.4151,47.72,56.52,12.50,0.00,57.3
155,0.3730,86.52,2.3153,49.45,57.45,17.45,0.00,57.9
156,0.3655,86.68,2.3029,50.25,58.39,17.70,0.00,58.1
157,0.3573,87.37,2.5109,47.75,56.84,11.40,0.00,57.8
158,0.3518,87.43,2.4621,48.10,56.70,13.70,0.00,58.2
159,0.3461,87.11,2.3087,51.07,58.58,21.05,0.00,57.7
160,0.3359,88.03,2.3397,49.64,57.92,16.50,0.00,44.4
161,0.3340,87.78,2.3646,48.80,56.39,18.45,0.00,44.5
162,0.3255,87.91,2.5950,48.41,57.50,12.05,0.00,44.8
163,0.3112,89.05,2.5754,49.58,57.41,18.25,0.00,45.0
164,0.3107,88.87,2.6065,48.48,57.12,13.90,0.00,44.7
165,0.3001,89.00,2.4927,50.89,58.52,20.35,0.00,44.7
166,0.2850,89.40,2.6504,49.14,57.16,17.05,0.00,44.7
167,0.2822,89.59,2.6734,48.68,57.23,14.50,0.00,44.2
168,0.2784,89.84,2.5343,50.55,57.94,21.00,0.00,44.8
169,0.2734,89.82,2.6053,50.51,58.60,18.15,0.00,44.8
170,0.2633,90.46,2.6482,50.36,58.12,19.30,0.00,44.7
171,0.2607,90.63,2.6437,50.55,58.64,18.20,0.00,44.6
172,0.2596,90.61,2.6458,50.18,58.55,16.70,0.00,44.9
173,0.2466,91.00,2.7661,49.83,58.20,16.35,0.00,44.8
174,0.2449,90.90,2.8845,48.88,56.66,17.75,0.00,44.2
175,0.2378,91.08,2.8675,49.11,57.69,14.80,0.00,44.8
176,0.2356,91.29,2.9133,49.23,57.49,16.20,0.00,44.9
177,0.2308,91.53,2.9883,49.31,57.70,15.75,0.00,44.5
178,0.2265,92.01,2.8904,49.92,57.69,18.85,0.00,44.8
179,0.2266,91.95,2.8591,50.10,57.90,18.90,0.00,44.8
180,0.2294,91.84,2.9836,49.42,58.16,14.45,0.00,45.0
181,0.2207,91.79,3.0899,48.71,57.30,14.35,0.00,44.4
182,0.2121,91.96,2.9171,49.66,57.19,19.55,0.00,44.9
183,0.2081,92.49,2.9880,49.57,58.16,15.20,0.00,45.0
184,0.2058,92.36,2.9337,50.03,58.00,18.15,0.00,44.6
185,0.2022,92.66,2.8457,50.53,57.95,20.85,0.00,44.9
186,0.2049,92.75,2.9316,50.18,58.09,18.55,0.00,45.1
187,0.2058,92.12,2.9831,49.64,57.52,18.10,0.00,44.3
188,0.1988,92.99,3.0341,49.90,58.24,16.55,0.00,44.9
189,0.1949,92.87,3.0100,49.85,57.98,17.35,0.00,45.0
190,0.1985,92.69,3.0250,49.74,57.65,18.10,0.00,44.9
191,0.1912,92.83,3.0188,49.96,57.90,18.20,0.00,44.6
192,0.1912,93.20,3.0290,49.87,57.79,18.20,0.00,45.0
193,0.1886,93.03,3.0306,49.85,57.91,17.60,0.00,44.9
194,0.1905,92.89,3.0744,49.58,57.73,17.00,0.00,44.4
195,0.1913,93.17,3.0655,49.69,57.89,16.90,0.00,44.8
