epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.4361,50.92,2.6971,22.26,27.82,0.00,0.00,14.1
2,1.7351,40.78,3.2244,16.09,20.11,0.00,0.00,13.6
3,1.6152,40.83,3.7628,13.69,17.11,0.00,0.00,13.5
4,1.5367,43.49,2.8842,21.26,26.57,0.00,0.00,13.5
5,1.4825,46.11,2.9235,17.57,21.96,0.00,0.00,13.5
6,1.4127,47.93,3.0029,18.70,23.38,0.00,0.00,13.5
7,1.3768,49.70,2.7459,25.03,31.29,0.00,0.00,13.5
8,1.3385,51.48,3.1500,18.62,23.27,0.00,0.00,13.5
9,1.3123,53.01,2.8835,21.49,26.86,0.00,0.00,13.5
10,1.2897,53.19,2.6361,23.11,28.89,0.00,0.00,13.5
11,1.2630,55.01,3.0185,20.86,26.07,0.00,0.00,13.5
12,1.2318,56.33,2.6975,23.95,29.94,0.00,0.00,13.5
13,1.2137,57.02,2.8896,20.91,26.14,0.00,0.00,13.4
14,1.1984,57.50,2.8259,21.38,26.73,0.00,0.00,13.5
15,1.1951,57.65,2.5430,25.43,31.79,0.00,0.00,13.6
16,1.1756,58.46,2.8008,21.57,26.96,0.00,0.00,13.5
17,1.1639,59.21,2.5385,24.86,31.07,0.00,0.00,13.5
18,1.1376,59.63,2.5579,24.60,30.75,0.00,0.00,13.5
19,1.1303,60.79,2.6068,26.01,32.51,0.00,0.00,13.5
20,1.1144,61.11,2.5698,26.81,33.51,0.00,0.00,13.5
21,1.1022,61.39,2.8483,23.74,29.68,0.00,0.00,13.5
22,1.0909,61.82,2.5845,26.16,32.70,0.00,0.00,13.5
23,1.0823,62.28,2.4304,27.04,33.80,0.00,0.00,13.5
24,1.0731,62.79,2.4943,28.75,35.94,0.00,0.00,13.5
25,1.0585,63.53,2.3733,29.36,36.70,0.00,0.00,13.4
26,1.0535,63.42,2.4152,27.15,33.94,0.00,0.00,13.5
27,1.0329,64.41,2.6226,25.36,31.70,0.00,0.00,13.5
28,1.0373,64.11,2.6435,26.03,32.54,0.00,0.00,13.5
29,1.0261,64.57,2.5268,28.04,35.05,0.00,0.00,13.5
30,1.0166,64.90,2.3338,30.07,37.59,0.00,0.00,13.5
31,1.0135,65.07,2.6084,26.48,33.10,0.00,0.00,13.6
32,1.0017,65.69,2.5094,27.98,34.98,0.00,0.00,13.6
33,0.9847,66.06,2.6338,25.95,32.44,0.00,0.00,13.5
34,0.9828,65.67,2.5369,27.16,33.95,0.00,0.00,13.5
35,0.9699,66.31,2.4431,27.04,33.80,0.00,0.00,13.5
36,0.9779,66.60,2.3261,32.09,40.11,0.00,0.00,13.5
37,0.9746,66.13,2.5081,27.77,34.71,0.00,0.00,13.4
38,0.9675,66.53,2.4694,30.07,37.59,0.00,0.00,13.5
39,0.9574,66.73,2.3837,31.32,39.15,0.00,0.00,13.6
40,0.9462,67.27,2.6346,26.99,33.74,0.00,0.00,13.5
41,0.9399,67.46,2.5264,26.91,33.64,0.00,0.00,13.5
42,0.9331,67.78,2.3578,31.24,39.05,0.00,0.00,13.5
43,0.9352,67.60,2.4985,26.78,33.48,0.00,0.00,13.5
44,0.9227,67.99,2.4663,28.58,35.73,0.00,0.00,13.5
45,0.9176,68.44,2.2063,34.00,42.50,0.00,0.00,13.6
46,0.9168,68.49,2.3669,31.50,39.38,0.00,0.00,13.6
47,0.9045,68.95,2.3440,31.49,39.36,0.00,0.00,13.5
48,0.8993,69.31,2.4811,30.80,38.50,0.00,0.00,13.6
49,0.8932,69.38,2.3999,30.68,38.35,0.00,0.00,13.5
