epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.4924,48.84,2.8734,20.15,25.19,0.00,0.00,13.8
2,1.2844,55.43,2.9498,22.55,28.19,0.00,0.00,13.5
3,1.2556,56.20,2.9743,20.69,25.86,0.00,0.00,13.4
4,1.2501,57.04,2.6594,25.81,32.26,0.00,0.00,13.4
5,1.2341,57.82,3.1584,21.90,27.38,0.00,0.00,13.4
6,1.2353,58.01,3.0334,23.75,29.69,0.00,0.00,13.4
7,1.1595,60.64,2.6257,26.87,33.59,0.00,0.00,13.4
8,1.0712,62.99,2.7774,25.60,32.00,0.00,0.00,13.4
9,1.0346,64.17,2.5516,27.41,34.26,0.00,0.00,13.5
10,1.0133,65.42,2.4295,26.56,33.20,0.00,0.00,13.5
11,1.0000,65.90,2.6651,28.99,36.24,0.00,0.00,13.5
12,0.9740,66.70,2.2630,29.31,36.64,0.00,0.00,13.5
13,0.9557,67.20,2.5187,28.81,36.01,0.00,0.00,13.5
14,0.9431,67.36,2.3799,28.67,35.84,0.00,0.00,13.5
15,0.9365,67.60,2.4515,29.24,36.55,0.00,0.00,13.5
16,0.9183,68.31,2.5152,31.40,39.25,0.00,0.00,13.5
17,0.9143,68.72,2.4128,31.28,39.10,0.00,0.00,13.6
18,0.9023,68.93,2.1919,33.56,41.75,0.80,0.00,13.5
19,0.8829,69.14,2.3311,33.48,41.85,0.00,0.00,13.5
20,0.8736,70.26,2.3253,33.11,41.38,0.05,0.00,13.5
21,0.8625,70.34,2.5500,29.10,36.38,0.00,0.00,13.5
22,0.8554,70.66,2.2950,34.07,42.52,0.25,0.00,13.5
23,0.8443,70.60,2.1979,34.61,43.26,0.00,0.00,13.6
24,0.8463,71.09,2.5216,32.66,40.83,0.00,0.00,13.6
25,0.8392,71.18,2.0199,35.94,44.79,0.55,0.00,13.5
26,0.8287,71.50,2.2525,31.59,39.41,0.30,0.00,13.5
27,0.8243,71.30,2.2742,31.37,39.17,0.15,0.00,13.6
28,0.8197,71.84,2.2833,34.13,42.66,0.00,0.00,13.6
29,0.8240,71.66,2.2676,32.29,40.34,0.10,0.00,13.6
30,0.8078,72.06,2.1695,35.01,43.76,0.00,0.00,13.5
31,0.8030,72.62,2.2064,36.49,45.60,0.05,0.00,13.5
32,0.7979,72.55,2.3449,35.09,43.86,0.00,0.00,13.5
33,0.7971,72.46,2.0871,34.76,43.14,1.25,0.00,13.6
34,0.7850,73.14,2.1795,36.98,46.23,0.00,0.00,13.5
35,0.7919,72.92,2.3000,33.87,42.26,0.30,0.00,13.5
36,0.7864,73.16,2.3281,35.45,44.30,0.05,0.00,13.5
37,0.7818,73.12,2.0812,37.32,46.62,0.10,0.00,13.5
38,0.7781,73.09,2.2194,33.66,42.08,0.00,0.00,13.5
39,0.7767,73.16,2.3124,35.11,43.89,0.00,0.00,13.5
40,0.7660,73.92,2.1602,36.23,45.17,0.45,0.00,13.4
41,0.7671,73.96,2.1626,37.73,47.16,0.00,0.00,13.4
42,0.7650,73.47,1.9646,38.56,48.10,0.40,0.00,13.5
43,0.7615,73.87,2.2260,34.79,43.46,0.10,0.00,13.5
44,0.7620,73.39,2.0130,39.43,48.81,1.90,0.00,13.5
45,0.7607,73.88,1.9558,41.82,52.09,0.75,0.00,13.5
46,0.7566,74.06,2.1861,38.48,48.10,0.00,0.00,13.5
47,0.7510,74.05,1.9643,38.44,47.73,1.30,0.00,13.5
48,0.7530,74.11,2.0966,38.22,47.77,0.00,0.00,13.5
49,0.7436,74.30,2.1396,36.59,45.52,0.85,0.00,13.5
50,0.7501,73.77,2.0275,37.42,46.31,1.85,0.00,13.6
51,0.7424,74.50,2.1756,36.53,45.65,0.05,0.00,13.6
52,0.7430,74.76,2.2911,36.33,45.41,0.00,0.00,13.5
53,0.7369,74.62,2.1334,35.67,44.40,0.75,0.00,13.6
54,0.7374,74.33,1.9158,40.17,50.02,0.75,0.00,13.5
55,0.7345,74.45,1.9673,40.75,50.77,0.65,0.00,13.5
56,0.7259,74.56,2.0776,38.62,48.11,0.65,0.00,13.6
57,0.7393,74.52,2.0671,36.53,45.42,0.95,0.00,13.5
58,0.7252,74.85,1.9237,40.50,50.23,1.60,0.00,13.5
59,0.7195,75.29,2.2933,35.54,44.40,0.10,0.00,13.5
