epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3933,52.64,2.8001,19.92,24.90,0.00,0.00,5.2
2,1.2568,56.29,2.6473,26.03,32.54,0.00,0.00,2.6
3,1.1431,60.44,2.9023,24.31,30.39,0.00,0.00,2.6
4,1.1068,61.99,2.9775,23.31,29.14,0.00,0.00,2.5
5,1.1105,62.20,2.8432,22.35,27.94,0.00,0.00,2.6
6,1.0946,62.06,2.6890,26.19,32.74,0.00,0.00,2.5
7,1.0635,63.23,2.7618,23.31,29.14,0.00,0.00,2.5
8,1.0447,64.07,2.4858,26.69,33.36,0.00,0.00,2.5
9,1.0219,64.78,2.7014,25.32,31.65,0.00,0.00,2.5
10,1.0056,65.40,2.8231,25.50,31.88,0.00,0.00,2.7
11,0.9694,66.88,2.4197,28.44,35.55,0.00,0.00,2.7
12,0.9700,66.83,2.5672,29.04,36.30,0.00,0.00,2.7
13,0.9555,67.22,2.5166,29.97,37.46,0.00,0.00,2.8
14,0.9383,68.01,2.4297,29.88,37.35,0.00,0.00,2.8
15,0.9154,68.56,2.1253,34.55,43.19,0.00,0.00,2.8
16,0.9007,69.42,2.6256,30.78,38.48,0.00,0.00,2.8
17,0.8904,69.88,2.3057,34.04,42.55,0.00,0.00,2.7
18,0.8730,69.88,2.1367,33.31,41.60,0.15,0.00,2.7
19,0.8599,70.89,2.2074,32.02,40.02,0.00,0.00,2.8
20,0.8539,71.04,2.2283,32.55,40.66,0.10,0.00,2.8
21,0.8438,71.45,2.4423,30.68,38.35,0.00,0.00,2.8
22,0.8338,71.48,2.2707,30.98,38.71,0.05,0.00,2.8
23,0.8214,72.05,2.0999,34.82,43.42,0.40,0.00,2.8
24,0.8071,71.72,1.9798,35.12,43.64,1.05,0.00,2.7
25,0.8044,72.01,2.3209,32.01,40.00,0.05,0.00,2.8
26,0.7900,73.21,2.0337,37.20,46.39,0.45,0.00,2.7
27,0.7811,73.35,2.3194,30.92,38.64,0.05,0.00,2.7
28,0.7667,73.83,1.8947,37.97,46.88,2.35,0.00,2.8
29,0.7521,73.98,2.0481,36.60,45.51,0.95,0.00,2.8
30,0.7453,74.45,2.0699,37.23,46.48,0.25,0.00,2.8
31,0.7304,75.25,1.9930,39.97,49.76,0.80,0.00,2.8
32,0.7228,75.43,2.0637,39.74,49.36,1.25,0.00,2.8
33,0.7084,75.66,2.1553,37.80,47.21,0.15,0.00,2.8
34,0.7059,75.88,1.7980,42.76,52.10,5.40,0.00,2.9
35,0.6970,75.68,2.1131,34.84,43.44,0.45,0.00,2.8
36,0.6864,76.12,2.2893,35.34,44.11,0.25,0.00,2.8
37,0.6800,76.38,1.7600,41.97,51.33,4.55,0.00,2.8
38,0.6656,77.41,2.0818,38.75,48.15,1.15,0.00,2.9
39,0.6611,77.43,1.7776,41.27,50.73,3.45,0.00,2.7
40,0.6615,77.23,2.0258,41.34,51.52,0.60,0.00,2.7
41,0.6352,78.11,1.9428,41.23,51.21,1.30,0.00,2.8
42,0.6299,78.12,1.9231,42.41,51.39,6.50,0.00,2.8
43,0.6212,78.35,2.0838,40.84,50.51,2.15,0.00,2.7
44,0.6203,78.70,2.1144,43.18,53.89,0.35,0.00,2.8
45,0.6068,79.28,2.0379,41.64,51.90,0.60,0.00,2.8
46,0.5909,79.66,2.1246,42.62,53.23,0.20,0.00,2.9
47,0.5879,79.41,1.8666,43.52,52.86,6.15,0.00,2.7
48,0.5824,80.03,1.9557,43.10,53.14,2.95,0.00,2.7
49,0.5747,80.07,1.7237,48.08,57.76,9.35,0.00,2.7
50,0.5615,80.21,1.9168,45.72,56.69,1.85,0.00,2.7
51,0.5561,80.53,1.9668,43.71,52.81,7.30,0.00,2.7
52,0.5441,80.92,1.8849,46.49,56.92,4.75,0.00,2.8
53,0.5329,81.21,2.1585,43.41,53.85,1.65,0.00,2.8
54,0.5307,81.57,1.9821,46.38,55.86,8.45,0.00,2.7
55,0.5234,81.73,1.8001,48.58,58.16,10.25,0.00,2.8
56,0.5169,81.82,1.7264,47.84,57.25,10.20,0.00,2.8
57,0.5150,81.82,1.8631,46.07,55.83,7.05,0.00,2.8
58,0.4956,82.48,1.8403,47.12,56.71,8.75,0.00,2.8
59,0.4937,82.58,1.9726,45.51,55.92,3.85,0.00,2.8
60,0.4841,82.86,2.0212,45.16,55.62,3.30,0.00,2.8
61,0.4763,82.94,1.7359,48.67,56.88,15.85,0.00,2.9
62,0.4623,84.06,2.1036,44.76,54.71,4.95,0.00,2.7
63,0.4629,83.48,1.9007,46.92,56.96,6.75,0.00,2.8
64,0.4503,84.22,1.8707,46.54,55.76,9.65,0.00,2.8
65,0.4453,84.56,1.8439,49.40,58.95,11.20,0.00,2.8
66,0.4298,84.88,2.2008,46.05,56.23,5.35,0.00,2.8
67,0.4271,84.88,2.2021,44.98,54.35,7.50,0.00,2.8
68,0.4177,85.19,1.9952,47.86,58.12,6.80,0.00,2.8
69,0.4184,84.77,1.7820,49.62,58.81,12.85,0.00,2.8
70,0.3970,86.04,2.0611,47.67,58.08,6.05,0.00,2.8
71,0.3978,85.67,1.9924,47.73,57.02,10.55,0.00,2.6
72,0.3929,86.06,2.0087,47.90,57.76,8.45,0.00,2.8
73,0.3680,87.01,2.1355,46.24,55.48,9.30,0.00,2.9
74,0.3623,87.01,2.0395,48.00,57.31,10.75,0.00,2.9
75,0.3605,87.13,1.8484,50.26,58.38,17.80,0.00,2.9
76,0.3663,86.95,1.8193,52.50,61.11,18.05,0.00,2.7
77,0.3378,88.13,1.9427,49.67,58.05,16.15,0.00,2.7
78,0.3408,87.67,1.8200,51.86,59.61,20.85,0.00,3.0
79,0.3174,88.82,2.3051,47.49,57.14,8.90,0.00,2.9
80,0.3227,88.34,2.1265,48.37,56.49,15.90,0.00,2.8
81,0.3224,88.47,1.9597,51.01,59.29,17.90,0.00,2.8
82,0.3072,88.95,1.8607,52.14,59.16,24.05,0.00,2.7
83,0.3012,89.50,2.1361,48.77,57.59,13.50,0.00,2.6
84,0.2962,89.44,2.0272,50.26,57.36,21.85,0.00,2.6
85,0.2916,89.59,2.3444,48.09,58.50,6.45,0.00,2.5
86,0.2794,89.91,2.3309,47.43,55.92,13.45,0.00,2.6
87,0.2763,89.92,2.1460,49.85,58.25,16.25,0.00,2.6
88,0.2736,90.19,2.3789,47.29,57.69,5.70,0.00,2.6
89,0.2529,90.99,2.2589,49.95,59.50,11.75,0.00,2.6
90,0.2573,90.52,2.1903,48.92,57.81,13.35,0.00,2.6
91,0.2409,91.71,2.1057,52.70,60.51,21.45,0.00,2.8
92,0.2363,91.62,2.5538,47.80,57.50,9.00,0.00,2.8
93,0.2275,91.83,2.3760,49.25,58.45,12.45,0.00,2.6
94,0.2185,92.08,2.1846,51.06,57.98,23.40,0.00,2.7
95,0.2203,92.19,2.3216,49.78,58.62,14.40,0.00,2.8
96,0.2108,92.42,2.5392,47.38,55.71,14.05,0.00,2.6
97,0.1989,93.00,2.4877,49.11,57.56,15.30,0.00,2.7
98,0.2024,93.20,2.3500,49.10,57.06,17.25,0.00,2.9
99,0.1959,93.00,2.5397,48.11,56.90,12.95,0.00,2.9
100,0.1944,93.27,2.7092,47.14,56.58,9.40,0.00,2.9
101,0.1843,93.58,2.8310,45.98,55.17,9.20,0.00,2.9
102,0.1758,93.61,2.5815,49.33,58.99,10.70,0.00,3.0
103,0.1711,93.83,2.8026,47.06,56.54,9.15,0.00,3.0
104,0.1725,93.94,2.7121,48.21,57.41,11.40,0.00,2.9
105,0.1739,93.89,2.7072,47.75,56.36,13.30,0.00,2.9
106,0.1623,94.45,2.4901,50.39,59.00,15.95,0.00,2.9
107,0.1560,94.34,2.5568,49.96,59.25,12.80,0.00,2.9
108,0.1462,94.74,2.7421,49.00,57.69,14.25,0.00,2.9
109,0.1460,94.77,2.6832,48.65,57.41,13.60,0.00,2.9
110,0.1415,94.87,3.0068,47.25,56.85,8.85,0.00,2.8
111,0.1418,95.10,2.8083,48.25,57.79,10.10,0.00,2.8
112,0.1337,95.23,2.9743,46.51,55.80,9.35,0.00,2.8
113,0.1322,95.14,2.7753,48.16,56.15,16.20,0.00,2.8
114,0.1273,95.51,2.7934,48.68,57.75,12.40,0.00,2.8
115,0.1222,95.57,2.7954,50.03,57.49,20.20,0.00,2.8
116,0.1137,95.99,2.7043,49.49,57.66,16.80,0.00,2.8
117,0.1155,96.07,3.0374,47.47,56.45,11.55,0.00,2.8
118,0.1122,95.91,2.9177,48.44,57.81,10.95,0.00,2.9
119,0.1089,96.10,3.1545,47.09,55.75,12.45,0.00,2.8
120,0.0950,96.65,3.0609,47.95,56.49,13.80,0.00,2.8
121,0.1036,96.24,2.9647,47.98,56.11,15.45,0.00,2.9
122,0.1012,96.56,2.7859,50.03,58.46,16.30,0.00,2.8
123,0.0983,96.78,2.8976,49.33,57.55,16.45,0.00,2.8
124,0.0961,96.78,2.8650,50.15,58.40,17.15,0.00,2.8
125,0.0819,97.15,2.9390,49.02,58.23,12.20,0.00,2.9
126,0.0832,97.07,3.0201,48.72,57.31,14.35,0.00,2.8
127,0.0867,97.07,3.3552,47.01,56.50,9.05,0.00,2.8
128,0.0797,96.99,3.2355,48.12,57.46,10.75,0.00,2.8
129,0.0833,97.19,3.0145,49.03,58.09,12.80,0.00,2.9
130,0.0717,97.57,3.0125,49.78,58.11,16.45,0.00,2.8
131,0.0736,97.40,3.1737,48.67,57.70,12.55,0.00,2.8
132,0.0746,97.40,3.1998,48.93,58.65,10.05,0.00,2.7
133,0.0668,97.78,3.2202,48.17,57.64,10.30,0.00,2.9
134,0.0633,97.86,3.1610,48.51,56.86,15.10,0.00,2.9
135,0.0581,98.04,3.2413,48.52,57.49,12.65,0.00,2.9
136,0.0563,98.14,3.2515,48.88,58.45,10.60,0.00,2.9
137,0.0621,97.90,3.0503,50.35,58.77,16.65,0.00,2.9
138,0.0564,97.98,3.3006,48.62,57.66,12.45,0.00,2.9
139,0.0542,98.19,3.3583,48.40,57.64,11.45,0.00,2.9
140,0.0529,98.12,3.4192,48.00,56.17,15.30,0.00,2.9
141,0.0502,98.35,3.1863,49.74,58.06,16.45,0.00,2.8
142,0.0489,98.38,3.3623,48.63,57.54,13.00,0.00,2.9
143,0.0460,98.39,3.2187,49.80,58.99,13.05,0.00,2.6
144,0.0445,98.44,3.5312,47.79,56.86,11.50,0.00,2.7
145,0.0409,98.68,3.3372,48.82,57.34,14.75,0.00,2.9
146,0.0420,98.52,3.3274,49.10,58.21,12.65,0.00,2.9
147,0.0403,98.68,3.5669,47.63,56.45,12.35,0.00,2.9
148,0.0356,98.77,3.5550,48.20,56.89,13.45,0.00,2.9
149,0.0337,98.94,3.3818,49.15,57.89,14.20,0.00,2.9
150,0.0362,98.82,3.4100,48.79,57.42,14.25,0.00,2.8
151,0.0312,98.97,3.6525,47.83,56.86,11.70,0.00,2.8
152,0.0297,99.10,3.6941,47.48,56.61,10.95,0.00,2.6
153,0.0274,99.10,3.6618,47.77,56.85,11.45,0.00,2.6
154,0.0251,99.22,3.7367,47.78,57.10,10.50,0.00,2.5
155,0.0266,99.15,3.7898,47.84,57.34,9.85,0.00,2.8
156,0.0276,99.11,3.6921,47.96,56.70,13.00,0.00,2.6
157,0.0259,99.19,3.5912,49.20,57.95,14.20,0.00,2.6
158,0.0257,99.16,3.5750,49.19,57.77,14.85,0.00,2.9
159,0.0266,99.14,3.6537,48.47,57.77,11.25,0.00,2.4
160,0.0207,99.41,3.7011,48.66,58.01,11.25,0.00,2.9
161,0.0213,99.36,3.6622,48.86,57.76,13.25,0.00,2.7
162,0.0171,99.48,3.7318,48.08,57.15,11.80,0.00,2.8
163,0.0187,99.46,3.8104,48.07,57.69,9.60,0.00,2.6
164,0.0169,99.49,3.7135,48.44,57.33,12.90,0.00,2.6
165,0.0186,99.46,3.6390,48.80,57.51,13.95,0.00,2.7
166,0.0165,99.54,3.7780,48.06,57.74,9.35,0.00,2.7
