epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3414,53.40,2.7822,21.59,26.99,0.00,0.00,6.0
2,1.4901,48.65,2.9922,19.23,24.04,0.00,0.00,2.9
3,1.3432,51.89,3.1577,18.03,22.54,0.00,0.00,2.7
4,1.3233,53.18,2.8000,23.20,29.00,0.00,0.00,2.7
5,1.3045,53.68,2.9464,17.13,21.41,0.00,0.00,2.8
6,1.3169,54.20,3.4865,17.17,21.46,0.00,0.00,2.8
7,1.2446,56.25,2.7972,24.77,30.96,0.00,0.00,2.6
8,1.1945,57.56,2.8420,25.79,32.24,0.00,0.00,2.6
9,1.1724,58.67,2.7679,25.62,32.02,0.00,0.00,2.8
10,1.1397,60.16,2.7499,27.12,33.90,0.00,0.00,2.7
11,1.1120,61.33,2.4635,26.35,32.92,0.05,0.00,2.6
12,1.0923,62.13,2.7235,25.19,31.49,0.00,0.00,2.8
13,1.0628,63.53,2.6435,27.10,33.88,0.00,0.00,2.9
14,1.0488,63.66,2.6855,25.56,31.95,0.00,0.00,2.9
15,1.0317,64.51,2.6415,26.10,32.62,0.00,0.00,2.7
16,1.0134,65.10,2.4502,30.41,38.01,0.00,0.00,3.1
17,0.9971,65.15,2.7685,24.39,30.49,0.00,0.00,3.2
18,0.9844,66.51,2.5034,27.67,34.59,0.00,0.00,2.5
19,0.9698,66.66,2.3353,30.58,38.23,0.00,0.00,2.5
20,0.9590,67.08,2.5959,26.39,32.99,0.00,0.00,2.5
21,0.9475,67.38,2.1801,30.68,38.35,0.00,0.00,2.5
22,0.9413,67.64,2.3805,30.83,38.54,0.00,0.00,2.6
23,0.9372,67.85,2.4491,26.79,33.49,0.00,0.00,2.8
24,0.9283,67.86,2.4267,30.74,38.42,0.00,0.00,2.8
25,0.9112,68.60,2.2298,34.09,42.61,0.00,0.00,2.8
26,0.8998,68.97,2.4629,32.12,40.15,0.00,0.00,2.8
27,0.8925,69.14,2.5192,31.17,38.96,0.00,0.00,2.8
28,0.8860,69.63,2.1133,34.90,43.62,0.00,0.00,2.8
29,0.8863,69.48,2.1505,34.45,43.06,0.00,0.00,2.8
30,0.8703,70.27,2.6162,29.54,36.92,0.00,0.00,2.8
31,0.8677,69.77,2.0765,35.80,44.74,0.05,0.00,2.8
32,0.8514,70.51,2.4880,30.94,38.67,0.00,0.00,2.8
33,0.8510,70.17,2.2353,35.19,43.99,0.00,0.00,2.8
34,0.8460,70.79,2.1842,36.77,45.96,0.00,0.00,2.8
35,0.8349,71.21,2.1662,36.10,45.12,0.00,0.00,2.8
36,0.8224,71.70,2.5079,32.56,40.70,0.00,0.00,2.8
37,0.8168,71.64,2.2047,35.10,43.88,0.00,0.00,2.7
38,0.7997,72.35,2.4734,31.11,38.89,0.00,0.00,2.8
39,0.8001,72.18,2.4529,32.73,40.91,0.00,0.00,2.9
40,0.8045,72.54,2.1143,37.56,46.94,0.05,0.00,2.8
