epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5399,47.15,2.9190,18.35,22.94,0.00,0.00,6.0
2,1.2514,56.51,2.8379,22.80,28.50,0.00,0.00,2.6
3,1.2107,57.73,3.0067,18.00,22.50,0.00,0.00,2.7
4,1.1658,59.27,2.7148,25.54,31.93,0.00,0.00,2.8
5,1.1554,59.78,2.7833,19.23,24.04,0.00,0.00,2.8
6,1.1434,60.62,2.5077,26.68,33.35,0.00,0.00,2.7
7,1.0802,62.80,2.5827,27.32,34.15,0.00,0.00,2.7
8,1.0446,63.82,2.5479,29.34,36.67,0.00,0.00,2.7
9,1.0021,65.16,2.5728,25.74,32.17,0.00,0.00,2.7
10,0.9887,66.23,2.6695,27.75,34.69,0.00,0.00,2.6
11,0.9602,66.93,2.3915,28.06,35.08,0.00,0.00,2.6
12,0.9479,67.59,2.6252,29.05,36.31,0.00,0.00,2.6
13,0.9302,68.09,2.6589,28.88,36.10,0.00,0.00,2.6
14,0.9160,68.35,2.2733,31.57,39.46,0.00,0.00,2.8
15,0.9057,69.13,2.4304,29.50,36.88,0.00,0.00,2.8
16,0.8936,69.69,2.3791,31.90,39.88,0.00,0.00,2.8
17,0.8740,69.96,2.4999,28.28,35.35,0.00,0.00,2.7
18,0.8721,70.07,2.1182,33.06,41.14,0.75,0.00,2.6
19,0.8594,70.43,2.2396,33.65,42.06,0.00,0.00,2.6
20,0.8582,70.84,2.5428,27.91,34.89,0.00,0.00,2.8
21,0.8540,70.34,2.1837,32.31,40.39,0.00,0.00,2.7
22,0.8366,71.01,2.4148,32.33,40.29,0.50,0.00,2.8
23,0.8265,71.73,2.1638,32.33,40.30,0.45,0.00,2.6
24,0.8271,71.27,2.1239,34.80,43.45,0.20,0.00,2.8
25,0.8230,71.85,2.0504,38.92,48.59,0.25,0.00,2.6
26,0.8168,71.84,2.2393,34.51,43.11,0.10,0.00,2.6
27,0.8128,71.97,2.1290,34.75,43.39,0.20,0.00,2.6
28,0.8062,71.89,1.9656,36.86,45.95,0.50,0.00,2.7
29,0.8068,72.57,1.9955,37.33,46.52,0.55,0.00,2.7
30,0.7990,72.25,2.1403,35.91,44.89,0.00,0.00,2.6
31,0.7963,72.77,1.9906,36.78,45.67,1.20,0.00,2.6
32,0.7956,72.63,2.4155,33.80,42.25,0.00,0.00,2.7
33,0.7834,72.71,2.2525,35.33,44.16,0.00,0.00,2.6
34,0.7920,72.63,2.0481,38.73,48.40,0.05,0.00,2.7
35,0.7780,73.35,2.1018,36.32,45.39,0.05,0.00,2.6
36,0.7784,73.15,2.3897,32.96,41.20,0.00,0.00,2.6
37,0.7700,73.55,2.0967,36.27,45.23,0.45,0.00,2.4
38,0.7671,73.38,2.0313,39.31,49.14,0.00,0.00,2.5
39,0.7685,73.77,1.9443,37.11,46.36,0.10,0.00,2.6
40,0.7629,73.81,1.9941,37.86,46.76,2.25,0.00,2.5
41,0.7709,73.36,2.1429,36.55,45.67,0.05,0.00,2.7
42,0.7552,73.78,2.3525,33.30,41.59,0.15,0.00,2.6
43,0.7470,74.20,2.1961,37.63,47.04,0.00,0.00,2.7
44,0.7493,74.05,2.0787,37.08,46.35,0.00,0.00,2.7
45,0.7437,74.20,2.1993,36.64,45.80,0.00,0.00,2.6
