epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5013,49.32,2.8478,19.82,24.77,0.00,0.00,8.9
2,1.2562,55.98,2.6292,24.01,30.01,0.00,0.00,4.5
3,1.1543,60.00,2.7283,21.71,27.14,0.00,0.00,5.8
4,1.0704,62.35,2.5927,27.73,34.66,0.00,0.00,4.6
5,1.0185,64.32,2.5950,27.37,34.21,0.00,0.00,5.8
6,1.0055,65.09,2.4863,30.26,37.83,0.00,0.00,4.4
7,0.9580,67.02,2.4845,28.80,36.00,0.00,0.00,6.1
8,0.9253,68.15,2.2439,32.22,40.27,0.00,0.00,5.9
9,0.8924,69.12,2.3486,31.11,38.89,0.00,0.00,6.1
10,0.8555,70.82,2.2981,34.39,42.89,0.40,0.00,6.4
11,0.8454,70.80,2.2015,32.40,40.48,0.10,0.00,6.9
12,0.8361,70.92,2.1985,34.66,43.33,0.00,0.00,6.6
13,0.8248,71.51,2.3534,34.69,43.36,0.00,0.00,6.4
14,0.8049,72.50,2.3741,32.96,41.20,0.00,0.00,6.6
15,0.7827,72.91,1.9306,39.19,48.84,0.60,0.00,6.5
16,0.7731,72.88,2.3827,35.60,44.50,0.00,0.00,6.4
17,0.7607,73.75,1.9978,41.09,51.23,0.55,0.00,6.6
18,0.7359,74.22,2.1358,36.38,45.08,1.60,0.00,6.9
19,0.7336,74.38,2.0403,40.41,50.44,0.30,0.00,6.7
20,0.7257,74.75,2.3085,36.12,45.11,0.15,0.00,6.8
21,0.7208,75.21,2.0104,37.42,46.61,0.65,0.00,7.0
22,0.6946,75.93,2.0996,38.46,47.00,4.30,0.00,6.8
23,0.6839,76.09,2.1447,40.78,50.91,0.25,0.00,6.5
24,0.6808,76.57,1.8359,43.04,52.01,7.15,0.00,6.9
25,0.6641,77.08,1.9609,42.26,51.96,3.45,0.00,6.7
26,0.6385,77.64,2.1282,42.85,53.49,0.30,0.00,7.0
27,0.6422,77.33,2.1423,38.11,46.61,4.10,0.00,6.7
28,0.6267,77.91,1.9558,42.51,50.65,9.95,0.00,7.0
29,0.6259,78.28,1.7658,44.93,53.71,9.80,0.00,6.7
30,0.6131,78.63,2.1941,39.84,49.33,1.90,0.00,6.5
31,0.5963,78.62,1.9754,43.55,53.23,4.85,0.00,6.9
32,0.5827,79.45,2.0410,43.59,53.62,3.45,0.00,6.5
33,0.5686,79.78,2.1491,41.20,51.10,1.60,0.00,6.7
34,0.5631,80.15,1.9544,44.74,54.62,5.20,0.00,6.3
35,0.5370,81.12,1.9378,45.27,54.08,10.05,0.00,7.1
36,0.5257,81.75,2.2742,39.29,47.89,4.90,0.00,6.5
37,0.5294,81.30,1.9407,44.21,51.92,13.35,0.00,6.6
38,0.5088,82.03,2.1632,43.51,52.96,5.70,0.00,6.6
39,0.4856,82.95,2.0844,43.14,52.19,6.95,0.00,6.7
40,0.4644,83.43,2.2926,42.03,50.81,6.90,0.00,6.3
41,0.4560,83.98,2.0503,45.54,54.55,9.50,0.00,6.3
42,0.4360,84.67,2.1577,44.83,53.40,10.55,0.00,6.8
43,0.4289,84.71,2.3298,43.90,54.42,1.80,0.00,6.8
44,0.4096,85.18,2.3551,42.60,52.19,4.25,0.00,6.4
45,0.3931,85.84,2.3248,42.98,52.95,3.10,0.00,5.3
46,0.3819,86.60,2.3372,42.95,52.27,5.65,0.00,6.0
47,0.3570,87.06,2.2842,45.28,54.48,8.50,0.00,4.7
48,0.3564,87.27,2.3544,43.21,52.44,6.30,0.00,5.3
49,0.3393,87.88,2.0689,48.51,57.74,11.60,0.00,6.1
50,0.3141,88.84,2.3939,45.84,55.46,7.35,0.00,4.9
51,0.3044,88.76,2.3098,47.18,56.25,10.90,0.00,5.9
52,0.2934,89.57,2.2788,47.28,56.80,9.20,0.00,6.3
53,0.2840,89.90,2.4666,45.01,54.55,6.85,0.00,4.8
54,0.2577,90.90,2.5495,46.66,56.04,9.15,0.00,6.6
55,0.2526,90.67,2.5625,46.66,56.51,7.25,0.00,6.6
56,0.2378,91.48,2.5065,47.12,55.64,13.05,0.00,6.4
57,0.2224,92.09,2.6546,45.03,52.95,13.35,0.00,6.7
58,0.2199,92.08,2.6855,46.92,55.86,11.15,0.00,7.1
59,0.2031,92.87,2.4166,48.63,57.33,13.85,0.00,5.5
60,0.2000,92.71,2.8219,46.72,55.42,11.90,0.00,6.6
61,0.1803,93.52,2.9439,44.99,54.71,6.10,0.00,4.8
62,0.1727,93.73,3.3778,43.54,51.96,9.85,0.00,5.1
63,0.1666,94.16,3.0156,43.55,52.50,7.75,0.00,6.3
64,0.1600,94.44,3.3526,43.61,53.19,5.30,0.00,6.5
65,0.1457,94.66,3.1191,45.29,55.06,6.20,0.00,7.3
66,0.1458,94.82,3.4758,44.79,55.30,2.75,0.00,6.8
67,0.1411,95.03,3.2958,44.98,53.95,9.10,0.00,6.3
68,0.1344,95.16,3.0898,47.30,56.05,12.30,0.00,7.0
69,0.1269,95.32,3.4339,45.05,54.49,7.30,0.00,6.9
70,0.1183,95.78,3.2896,46.23,55.86,7.70,0.00,6.7
71,0.1168,95.91,3.2337,47.43,56.38,11.65,0.00,6.8
72,0.1076,96.21,3.1699,47.28,56.49,10.45,0.00,7.4
73,0.1031,96.28,3.2750,46.73,55.77,10.55,0.00,7.0
74,0.1001,96.67,3.3034,46.81,55.80,10.85,0.00,7.1
75,0.1016,96.54,3.2241,46.68,55.77,10.30,0.00,7.2
76,0.0985,96.42,3.3279,46.80,55.51,11.95,0.00,6.0
77,0.0875,96.87,3.4832,45.93,56.10,5.25,0.00,7.0
78,0.0833,97.05,3.4114,45.88,55.14,8.85,0.00,6.9
79,0.0832,97.08,3.3606,45.96,54.79,10.65,0.00,7.1
80,0.0786,97.24,3.2973,47.52,56.91,9.95,0.00,6.8
81,0.0766,97.20,3.7861,44.49,53.58,8.15,0.00,6.9
82,0.0793,97.23,3.2715,46.94,55.30,13.50,0.00,7.1
83,0.0705,97.55,3.1570,48.31,54.96,21.70,0.00,7.0
84,0.0689,97.69,3.4658,46.34,54.91,12.05,0.00,6.9
85,0.0673,97.86,3.5846,46.74,55.96,9.85,0.00,6.9
86,0.0603,97.82,3.8830,44.93,54.02,8.55,0.00,6.9
87,0.0651,97.84,3.5545,47.80,56.12,14.50,0.00,6.7
88,0.0586,98.05,3.6754,46.68,55.90,9.80,0.00,7.1
89,0.0605,97.87,3.6015,46.55,55.30,11.55,0.00,6.9
90,0.0521,98.19,3.6903,45.96,54.69,11.05,0.00,7.0
91,0.0465,98.34,3.7479,46.59,56.75,5.95,0.00,7.0
92,0.0440,98.40,3.6440,46.41,54.85,12.65,0.00,6.5
93,0.0515,98.26,3.9122,45.56,54.74,8.85,0.00,6.7
94,0.0431,98.48,4.1256,45.22,54.88,6.60,0.00,6.8
95,0.0405,98.68,3.8510,46.05,54.30,13.05,0.00,6.8
96,0.0419,98.48,3.7484,46.77,55.49,11.90,0.00,5.9
97,0.0396,98.66,3.9866,45.10,53.38,12.00,0.00,5.8
98,0.0422,98.51,4.0060,45.92,55.41,7.95,0.00,5.6
99,0.0349,98.78,4.2573,45.40,54.31,9.75,0.00,7.2
100,0.0367,98.76,4.0751,46.08,55.46,8.55,0.00,7.2
101,0.0381,98.67,4.1597,45.76,55.29,7.65,0.00,6.7
102,0.0356,98.75,3.9648,46.10,55.20,9.70,0.00,7.3
103,0.0305,99.02,4.1945,45.57,55.12,7.35,0.00,7.6
104,0.0259,99.11,4.2257,45.77,55.14,8.30,0.00,7.4
105,0.0281,99.03,4.4985,44.70,53.60,9.10,0.00,6.9
106,0.0259,99.10,4.5434,45.67,55.60,5.95,0.00,7.5
107,0.0279,99.07,4.5077,45.49,54.31,10.20,0.00,7.4
108,0.0231,99.27,4.1350,48.37,57.95,10.05,0.00,7.3
109,0.0292,98.95,4.2546,46.70,55.59,11.15,0.00,7.3
110,0.0269,99.11,4.4485,45.56,55.42,6.10,0.00,7.5
111,0.0217,99.31,4.4680,45.45,55.56,5.00,0.00,7.4
112,0.0207,99.27,4.3418,47.15,57.26,6.70,0.00,7.4
113,0.0181,99.44,4.4660,46.38,56.38,6.40,0.00,7.5
114,0.0184,99.44,4.5072,45.97,55.62,7.35,0.00,7.4
115,0.0213,99.29,4.3815,46.53,55.85,9.25,0.00,7.4
116,0.0181,99.41,4.2294,46.99,55.60,12.55,0.00,7.5
117,0.0187,99.35,4.2492,46.67,55.09,13.00,0.00,7.4
118,0.0162,99.53,4.5899,45.38,55.02,6.80,0.00,7.3
119,0.0155,99.40,4.5409,46.08,55.80,7.20,0.00,7.3
120,0.0158,99.50,4.4651,45.97,54.99,9.90,0.00,7.4
121,0.0150,99.56,4.4280,46.43,55.71,9.30,0.00,7.1
122,0.0142,99.60,4.4292,46.89,55.83,11.15,0.00,7.1
123,0.0119,99.59,4.4750,46.51,55.90,8.95,0.00,7.5
124,0.0141,99.51,4.5654,46.45,55.44,10.50,0.00,7.3
125,0.0121,99.58,4.5839,45.90,54.81,10.25,0.00,7.3
126,0.0098,99.69,4.6237,45.40,54.51,8.95,0.00,7.3
127,0.0105,99.62,4.6383,45.69,54.69,9.70,0.00,7.4
128,0.0089,99.69,4.3627,47.59,55.96,14.10,0.00,7.1
129,0.0078,99.72,4.5954,47.22,57.30,6.90,0.00,7.1
130,0.0094,99.68,4.4851,46.93,56.29,9.50,0.00,7.0
131,0.0095,99.69,4.4920,47.01,56.60,8.65,0.00,6.7
132,0.0073,99.79,4.6946,46.72,56.23,8.70,0.00,7.1
133,0.0082,99.75,4.7024,46.73,55.73,10.75,0.00,7.2
134,0.0081,99.76,4.9055,45.94,55.50,7.70,0.00,6.4
135,0.0056,99.82,4.7911,46.62,56.06,8.85,0.00,7.1
136,0.0059,99.84,4.7328,47.24,56.30,11.00,0.00,7.1
137,0.0061,99.80,4.7861,46.24,55.27,10.10,0.00,7.3
138,0.0056,99.82,4.8237,47.18,56.54,9.75,0.00,7.2
139,0.0048,99.84,4.6378,47.91,57.15,10.95,0.00,6.1
140,0.0045,99.82,4.8999,46.65,55.92,9.55,0.00,7.3
141,0.0034,99.90,4.8192,46.62,55.34,11.75,0.00,6.8
142,0.0027,99.90,4.6576,48.86,57.27,15.20,0.00,6.3
143,0.0040,99.86,5.0233,47.05,56.46,9.40,0.00,6.4
144,0.0030,99.91,4.7933,47.67,56.86,10.90,0.00,5.3
145,0.0023,99.94,4.7972,47.86,56.95,11.50,0.00,6.4
146,0.0027,99.92,4.8252,48.01,57.33,10.75,0.00,6.6
147,0.0039,99.86,4.8095,47.83,57.10,10.75,0.00,7.5
148,0.0038,99.85,5.0231,46.45,56.04,8.10,0.00,7.4
149,0.0016,99.98,4.9631,47.12,56.71,8.75,0.00,7.4
150,0.0013,99.98,4.9622,46.97,56.51,8.80,0.00,7.5
151,0.0009,99.98,5.1168,46.84,56.36,8.75,0.00,7.3
152,0.0043,99.84,4.9592,47.18,56.99,7.95,0.00,7.3
153,0.0011,99.98,4.9659,47.76,57.44,9.05,0.00,7.6
154,0.0010,99.98,4.9748,47.55,57.20,8.95,0.00,7.6
155,0.0027,99.91,4.9453,46.95,56.25,9.75,0.00,5.9
156,0.0010,99.98,5.0023,47.30,57.06,8.25,0.00,6.2
157,0.0014,99.97,5.0762,47.10,56.67,8.80,0.00,6.7
158,0.0013,99.94,5.1406,47.02,56.69,8.35,0.00,7.3
159,0.0011,99.97,5.0957,47.20,56.51,9.95,0.00,7.3
160,0.0015,99.96,5.1674,46.64,56.09,8.85,0.00,5.0
161,0.0013,99.94,5.1533,47.06,56.71,8.45,0.00,5.1
162,0.0007,99.98,5.1933,46.75,56.34,8.40,0.00,7.1
163,0.0003,100.00,5.1398,46.96,56.35,9.40,0.00,5.0
164,0.0008,99.96,5.0442,47.17,56.41,10.20,0.00,6.8
165,0.0009,99.98,5.0784,47.12,56.45,9.80,0.00,5.1
166,0.0006,99.99,5.2481,46.84,56.33,8.90,0.00,5.1
167,0.0006,99.98,5.2527,47.22,56.99,8.15,0.00,4.6
168,0.0006,99.98,5.1870,47.37,57.16,8.20,0.00,6.9
169,0.0011,99.98,5.1433,47.46,56.99,9.35,0.00,6.5
170,0.0006,99.99,5.1065,47.73,57.48,8.75,0.00,6.6
171,0.0003,99.99,5.1881,47.33,57.09,8.30,0.00,6.9
172,0.0001,100.00,5.2409,47.13,56.88,8.15,0.00,6.5
173,0.0004,99.98,5.2134,47.44,57.23,8.30,0.00,6.6
174,0.0007,99.97,5.2663,47.01,57.04,6.90,0.00,7.4
175,0.0006,99.98,5.2353,47.18,57.06,7.65,0.00,7.1
176,0.0006,99.99,5.1132,47.71,57.50,8.55,0.00,6.3
177,0.0004,99.98,5.0649,47.86,57.60,8.90,0.00,6.5
178,0.0003,99.99,5.1472,47.52,57.34,8.25,0.00,6.7
179,0.0002,100.00,5.1672,47.44,57.30,8.00,0.00,8.0
180,0.0003,99.99,5.2034,47.23,57.00,8.15,0.00,9.2
181,0.0002,99.99,5.1894,47.31,57.04,8.40,0.00,9.3
182,0.0002,100.00,5.2132,47.26,56.88,8.80,0.00,9.1
183,0.0001,100.00,5.2224,47.17,56.80,8.65,0.00,8.9
184,0.0003,100.00,5.2353,47.35,56.96,8.90,0.00,8.9
185,0.0003,99.98,5.2814,47.36,56.99,8.85,0.00,9.9
186,0.0003,99.99,5.2623,47.31,56.96,8.70,0.00,9.6
187,0.0003,99.99,5.2571,47.41,57.05,8.85,0.00,9.3
188,0.0001,100.00,5.3029,47.33,57.00,8.65,0.00,9.7
189,0.0002,99.99,5.2998,47.32,56.99,8.65,0.00,10.0
190,0.0002,100.00,5.3108,47.20,56.91,8.35,0.00,9.8
191,0.0002,99.99,5.3219,47.15,56.81,8.50,0.00,10.2
192,0.0001,100.00,5.3345,47.13,56.81,8.40,0.00,10.2
193,0.0001,100.00,5.3359,47.09,56.77,8.35,0.00,10.4
194,0.0002,100.00,5.3277,47.13,56.81,8.40,0.00,10.3
195,0.0002,99.99,5.3103,47.26,56.94,8.55,0.00,10.2
196,0.0001,100.00,5.3151,47.28,56.95,8.60,0.00,9.3
197,0.0004,99.98,5.3058,47.25,56.92,8.55,0.00,9.9
198,0.0001,100.00,5.3045,47.30,56.96,8.65,0.00,9.5
199,0.0001,100.00,5.3012,47.30,56.95,8.70,0.00,9.7
200,0.0001,100.00,5.2909,47.37,57.04,8.70,0.00,9.5
