epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3373,54.32,2.6906,21.94,27.43,0.00,0.00,21.3
2,1.3538,53.63,2.7996,23.26,29.07,0.00,0.00,22.6
3,1.2133,57.88,2.7403,24.68,30.85,0.00,0.00,22.4
4,1.1991,58.39,2.5394,23.85,29.81,0.00,0.00,22.3
5,1.2139,57.30,2.7392,22.68,28.35,0.00,0.00,22.7
6,1.2363,56.34,2.6429,24.54,30.68,0.00,0.00,22.7
7,1.2484,55.49,2.9331,19.61,24.51,0.00,0.00,23.6
8,1.2549,54.63,2.6321,22.08,27.60,0.00,0.00,23.5
9,1.2468,55.96,2.6418,24.29,30.36,0.00,0.00,23.7
10,1.2356,56.30,2.7698,21.91,27.39,0.00,0.00,24.0
11,1.2359,55.74,2.9305,22.38,27.98,0.00,0.00,24.0
12,1.2443,55.75,2.5871,23.07,28.84,0.00,0.00,24.1
13,1.2294,56.64,2.6145,20.64,25.80,0.00,0.00,23.9
14,1.2980,53.26,2.8135,21.39,26.74,0.00,0.00,23.4
15,1.2812,54.49,2.7668,22.73,28.41,0.00,0.00,24.8
16,1.2829,54.02,2.7454,21.13,26.41,0.00,0.00,24.3
17,1.2695,54.18,2.8331,21.53,26.91,0.00,0.00,20.6
18,1.2523,55.87,2.5647,22.10,27.62,0.00,0.00,23.7
19,1.2455,56.32,2.8194,20.50,25.62,0.00,0.00,23.6
20,1.2511,55.71,2.7949,21.13,26.41,0.00,0.00,23.4
21,1.2556,55.36,2.7243,20.12,25.15,0.00,0.00,23.5
22,1.2356,55.66,2.7653,22.46,28.07,0.00,0.00,23.4
23,1.2161,56.99,2.7388,23.75,29.69,0.00,0.00,23.1
24,1.2227,56.80,2.7758,22.25,27.81,0.00,0.00,23.2
25,1.2319,56.09,2.8516,18.38,22.98,0.00,0.00,23.4
26,1.2321,56.59,2.6830,23.53,29.41,0.00,0.00,23.5
27,1.2393,56.14,2.6868,22.64,28.30,0.00,0.00,25.6
28,1.2397,55.95,2.8820,20.25,25.31,0.00,0.00,24.0
29,1.2390,56.38,2.8669,21.38,26.73,0.00,0.00,23.5
30,1.2514,55.51,2.8401,18.98,23.73,0.00,0.00,25.3
31,1.2602,55.46,2.7760,22.99,28.74,0.00,0.00,23.5
32,1.2516,55.34,2.7192,22.76,28.45,0.00,0.00,23.5
33,1.2218,57.25,2.8997,19.14,23.93,0.00,0.00,23.4
34,1.2277,56.85,2.6540,21.36,26.70,0.00,0.00,20.2
35,1.2159,57.14,2.6770,22.17,27.71,0.00,0.00,23.5
36,1.2120,57.04,2.8670,20.96,26.20,0.00,0.00,23.7
37,1.2397,56.33,2.7226,21.88,27.35,0.00,0.00,23.8
38,1.2401,55.42,2.7215,24.22,30.27,0.00,0.00,23.6
39,1.2564,55.64,2.6676,23.55,29.44,0.00,0.00,23.9
40,1.2854,54.09,2.9325,17.18,21.48,0.00,0.00,23.8
41,1.2626,55.51,2.7021,21.29,26.61,0.00,0.00,25.0
42,1.2578,55.32,2.9659,19.45,24.31,0.00,0.00,23.5
43,1.2463,56.02,2.9227,18.97,23.71,0.00,0.00,23.5
44,1.2566,55.03,2.6963,23.20,29.00,0.00,0.00,23.3
45,1.2280,56.91,2.8054,21.44,26.80,0.00,0.00,23.5
46,1.2288,56.65,2.7393,21.15,26.44,0.00,0.00,23.7
47,1.2244,57.03,2.9238,21.68,27.10,0.00,0.00,23.5
48,1.2496,55.13,2.6754,22.81,28.51,0.00,0.00,23.8
49,1.2734,54.08,2.9640,21.54,26.93,0.00,0.00,23.7
50,1.2783,54.30,2.8458,19.89,24.86,0.00,0.00,23.7
51,1.2656,54.68,2.8146,21.13,26.41,0.00,0.00,22.0
52,1.2353,56.22,2.7206,22.49,28.11,0.00,0.00,23.7
53,1.2271,56.22,2.7269,20.56,25.70,0.00,0.00,24.4
54,1.2400,55.94,2.6659,22.70,28.38,0.00,0.00,23.6
55,1.2244,56.73,2.6185,23.26,29.07,0.00,0.00,24.3
56,1.2263,56.12,2.6026,23.23,29.04,0.00,0.00,23.7
57,1.2258,56.30,2.6697,23.52,29.40,0.00,0.00,25.0
58,1.2234,56.16,2.6982,22.22,27.77,0.00,0.00,25.3
59,1.2191,56.72,2.7430,22.94,28.68,0.00,0.00,24.6
60,1.2361,55.78,2.6890,22.75,28.44,0.00,0.00,25.5
61,1.2545,55.80,2.7145,21.92,27.40,0.00,0.00,23.9
62,1.2615,55.06,2.7310,21.51,26.89,0.00,0.00,24.1
63,1.2426,55.42,2.7230,21.97,27.46,0.00,0.00,24.0
64,1.2421,55.84,2.8178,19.56,24.45,0.00,0.00,24.0
65,1.2536,55.07,2.6353,23.60,29.50,0.00,0.00,24.0
66,1.2435,55.98,2.8755,19.95,24.94,0.00,0.00,24.0
67,1.2339,56.50,2.5701,22.88,28.60,0.00,0.00,20.4
68,1.2592,54.93,2.6539,22.54,28.18,0.00,0.00,24.0
69,1.2367,55.85,2.5971,22.85,28.56,0.00,0.00,23.8
70,1.2515,55.43,2.5957,23.17,28.96,0.00,0.00,23.9
71,1.2414,56.13,2.9032,20.12,25.15,0.00,0.00,24.0
72,1.2575,54.84,2.9267,19.93,24.91,0.00,0.00,24.0
73,1.2727,54.06,2.8968,20.54,25.68,0.00,0.00,24.0
74,1.2607,54.88,2.8158,20.08,25.10,0.00,0.00,24.2
75,1.2378,55.74,2.8403,20.69,25.86,0.00,0.00,24.4
76,1.2158,56.88,2.5979,23.78,29.73,0.00,0.00,24.2
77,1.2179,56.51,2.9712,21.11,26.39,0.00,0.00,24.1
78,1.2131,56.66,2.7319,22.19,27.74,0.00,0.00,24.8
79,1.2286,56.44,2.6887,22.67,28.34,0.00,0.00,23.9
80,1.2235,56.21,2.7461,23.25,29.06,0.00,0.00,23.7
81,1.2160,56.34,2.8724,20.01,25.01,0.00,0.00,23.8
82,1.2332,56.03,2.6970,21.91,27.39,0.00,0.00,23.9
83,1.2369,55.67,2.8174,20.90,26.12,0.00,0.00,23.9
84,1.2337,55.71,2.7203,22.53,28.16,0.00,0.00,22.7
85,1.2127,56.33,2.7803,22.44,28.05,0.00,0.00,24.0
86,1.2239,56.55,2.7718,21.94,27.43,0.00,0.00,23.9
87,1.2197,56.88,2.7220,21.97,27.46,0.00,0.00,23.7
88,1.2044,56.86,2.6367,23.32,29.15,0.00,0.00,23.5
89,1.2252,56.73,2.8360,21.96,27.45,0.00,0.00,23.7
90,1.2133,56.84,2.8715,19.38,24.23,0.00,0.00,25.2
91,1.2270,56.37,2.7604,22.94,28.68,0.00,0.00,24.2
92,1.2047,57.64,2.7431,23.56,29.45,0.00,0.00,23.8
93,1.1845,58.25,2.7223,23.27,29.09,0.00,0.00,23.8
94,1.1870,58.10,2.6632,23.52,29.40,0.00,0.00,25.2
95,1.1969,57.50,2.5137,23.52,29.40,0.00,0.00,23.5
96,1.1882,58.26,2.7363,23.34,29.18,0.00,0.00,23.6
97,1.1917,57.40,2.7528,22.19,27.74,0.00,0.00,23.5
98,1.2034,57.16,2.8009,22.56,28.20,0.00,0.00,23.7
