epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.1571,20.92,2.6894,11.25,14.06,0.00,0.00,5.1
2,1.5781,45.94,3.2794,21.03,26.29,0.00,0.00,4.2
3,1.2533,58.18,3.3545,22.98,28.73,0.00,0.00,4.2
4,1.1163,62.34,2.8937,25.62,32.02,0.00,0.00,4.8
5,1.0520,65.90,2.6140,25.94,32.42,0.00,0.00,4.7
6,1.0148,67.29,2.7759,27.78,34.73,0.00,0.00,4.7
7,1.0194,67.39,2.5132,27.48,34.35,0.00,0.00,4.7
8,0.9625,69.24,4.0363,24.20,30.25,0.00,0.00,4.7
9,0.8856,70.55,2.4193,30.53,38.16,0.00,0.00,4.8
10,0.8383,71.72,2.5133,30.48,38.10,0.00,0.00,4.8
11,0.8132,72.89,5.1656,22.63,28.29,0.00,0.00,4.9
12,0.7922,73.42,2.4640,32.71,40.89,0.00,0.00,4.8
13,0.7446,75.17,2.6288,33.01,41.26,0.00,0.00,5.1
14,0.7319,75.37,2.3597,31.99,39.99,0.00,0.00,4.4
15,0.7218,76.29,2.6964,30.82,38.52,0.00,0.00,4.8
16,0.7063,76.40,2.4739,35.54,44.42,0.00,0.00,4.2
17,0.6865,76.90,2.1587,39.00,48.75,0.00,0.00,4.3
18,0.6640,77.83,2.1469,37.88,47.35,0.00,0.00,5.0
19,0.6567,78.19,2.3060,34.90,43.62,0.00,0.00,4.9
20,0.6444,78.53,429.3508,10.21,12.76,0.00,0.00,4.8
21,0.6204,79.53,2.0206,38.75,48.44,0.00,0.00,4.8
22,0.6025,80.27,2.1975,38.06,47.58,0.00,0.00,5.4
23,0.5957,80.44,1.9858,42.65,53.31,0.00,0.00,5.9
24,0.5734,81.50,2.0822,40.28,50.35,0.00,0.00,5.7
25,0.5474,82.43,2.2358,41.29,51.61,0.00,0.00,5.0
26,0.5432,82.27,2.0969,41.74,52.17,0.00,0.00,5.0
27,0.5245,82.95,2.1987,41.43,51.79,0.00,0.00,4.9
28,0.5296,82.70,2.0304,43.56,54.45,0.00,0.00,4.9
29,0.5080,83.38,2.1148,44.36,55.45,0.00,0.00,4.9
30,0.4878,83.72,1.9814,45.84,57.30,0.00,0.00,4.8
31,0.4864,84.11,1.8445,45.54,56.92,0.00,0.00,4.8
32,0.4811,84.02,2.0877,44.40,55.50,0.00,0.00,4.7
33,0.4566,84.92,1.8427,45.54,56.88,0.20,0.00,5.0
34,0.4392,85.76,1.9043,45.59,56.77,0.85,0.00,4.8
35,0.4306,85.89,1.8895,45.97,57.42,0.15,0.00,4.8
36,0.4169,86.10,1.8393,48.09,59.16,3.80,0.00,4.7
37,0.4118,86.36,1.8541,47.99,59.14,3.40,0.00,4.8
38,0.4043,86.90,1.7552,49.33,60.23,5.75,0.00,4.6
39,0.3815,87.47,2.1424,44.21,54.66,2.40,0.00,4.1
40,0.3759,87.61,1.8049,49.98,61.11,5.45,0.00,4.0
41,0.3662,87.94,1.8356,51.30,60.90,12.90,0.00,4.2
42,0.3461,88.74,1.8680,50.47,61.08,8.05,0.00,4.6
43,0.3372,89.15,1.9077,50.20,59.38,13.50,0.00,4.8
44,0.3382,88.84,1.8069,52.81,63.09,11.70,0.00,4.7
45,0.3158,89.58,1.7128,55.18,64.26,18.85,0.00,4.7
