epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3431,56.74,2.7087,24.82,31.02,0.00,0.00,109.3
2,0.9949,66.84,2.4792,29.29,36.61,0.00,0.00,119.7
3,0.9029,70.10,2.3622,28.93,36.16,0.00,0.00,119.3
4,0.8386,72.05,2.4866,32.44,40.55,0.00,0.00,109.4
5,0.8089,73.55,2.2738,36.14,45.17,0.00,0.00,119.8
6,0.7388,75.98,2.2150,37.13,46.41,0.00,0.00,119.7
7,0.6942,77.03,2.0627,39.01,48.76,0.00,0.00,110.4
8,0.6741,77.96,2.0079,42.51,53.14,0.00,0.00,119.4
9,0.6192,79.41,1.8898,45.53,55.80,4.45,0.00,120.5
10,0.5933,79.99,1.8444,46.41,57.06,3.80,0.00,120.9
11,0.5577,81.41,1.8541,48.35,60.41,0.10,0.00,108.4
12,0.5237,82.73,1.6839,51.35,60.75,13.75,0.00,120.4
13,0.5053,83.02,1.9830,47.81,59.52,0.95,0.00,120.2
14,0.4906,84.04,2.1626,46.45,56.12,7.75,0.00,110.0
15,0.4771,84.19,1.8911,47.56,58.79,2.65,0.00,119.1
16,0.4462,85.51,1.8360,51.72,63.54,4.45,0.00,120.6
17,0.4343,85.75,1.7698,51.24,60.62,13.70,0.00,110.8
18,0.4136,86.07,1.6671,54.11,64.06,14.30,0.00,119.8
19,0.3946,86.92,1.9119,52.71,62.44,13.80,0.00,119.8
20,0.3726,87.73,1.8467,53.59,64.97,8.05,0.00,119.9
21,0.3608,88.08,1.7613,53.26,64.36,8.85,0.00,108.9
22,0.3503,88.35,1.7236,56.64,66.21,18.35,0.00,121.1
23,0.3427,88.79,1.9998,51.87,61.70,12.55,0.00,120.7
24,0.3321,89.30,1.6262,58.49,69.12,15.95,0.00,110.4
25,0.3039,89.72,1.9177,53.64,63.19,15.45,0.00,119.9
26,0.3083,89.69,2.1879,53.99,65.78,6.85,0.00,119.7
27,0.2910,90.28,1.5828,60.51,68.04,30.40,0.00,109.4
28,0.2868,90.76,1.7840,58.11,67.90,18.95,0.00,120.7
29,0.2743,90.87,1.7868,56.85,66.56,18.00,0.00,119.9
30,0.2674,91.03,1.8544,57.35,66.47,20.85,0.00,119.4
31,0.2575,91.54,1.6944,58.58,67.50,22.90,0.00,109.8
32,0.2476,91.52,1.7634,59.27,68.70,21.55,0.00,119.7
33,0.2350,92.08,1.6847,59.19,65.90,32.35,0.00,120.5
34,0.2273,92.40,1.8889,58.19,67.20,22.15,0.00,111.2
35,0.2244,92.76,1.7058,60.61,68.26,30.00,0.00,119.8
36,0.2202,92.72,1.8992,58.43,67.78,21.05,0.00,118.9
37,0.2172,93.10,1.6356,61.77,70.83,25.55,0.00,109.6
38,0.2070,93.13,1.9612,58.35,68.54,17.60,0.00,121.5
39,0.1958,93.49,1.9741,58.38,69.26,14.85,0.00,121.0
40,0.1858,93.95,1.9965,57.72,65.11,28.15,0.00,120.8
41,0.1787,93.97,1.8744,59.46,69.17,20.60,0.00,109.0
42,0.1759,94.16,1.8077,60.04,67.60,29.80,0.00,123.0
43,0.1711,94.42,2.0929,57.56,66.47,21.90,0.00,122.2
44,0.1685,94.24,2.2274,57.20,67.76,14.95,0.00,110.1
45,0.1692,94.41,2.0938,57.37,67.62,16.35,0.00,119.6
46,0.1543,95.13,2.0621,58.76,68.08,21.50,0.00,121.0
47,0.1533,94.78,1.8628,61.10,70.33,24.20,0.00,110.8
48,0.1499,95.12,1.8501,60.70,68.70,28.70,0.00,120.3
49,0.1388,95.36,2.1273,59.49,69.83,18.15,0.00,120.8
50,0.1326,95.62,2.1835,59.55,67.71,26.90,0.00,119.8
51,0.1355,95.72,1.9550,60.97,70.67,22.15,0.00,114.9
52,0.1297,95.75,2.1445,59.17,68.16,23.20,0.00,120.2
53,0.1285,95.85,2.1411,59.59,68.95,22.15,0.00,120.3
54,0.1237,95.91,2.1332,60.18,69.20,24.10,0.00,110.3
55,0.1193,96.22,2.3476,57.07,65.79,22.20,0.00,120.9
56,0.1111,96.28,2.1137,60.96,70.06,24.55,0.00,126.2
57,0.1099,96.36,2.1603,60.29,70.15,20.85,0.00,118.4
58,0.1064,96.72,2.2537,57.97,67.16,21.20,0.00,132.5
59,0.1031,96.62,2.4129,58.53,69.28,15.55,0.00,127.5
60,0.0947,96.90,2.2760,60.19,70.38,19.45,0.00,124.6
61,0.0964,96.79,2.1994,60.06,69.50,22.30,0.00,115.2
62,0.0980,96.79,2.2822,60.83,71.09,19.80,0.00,124.9
63,0.0940,96.99,2.3793,58.31,67.38,22.05,0.00,120.5
64,0.0896,97.00,2.1083,61.93,70.24,28.70,0.00,109.4
65,0.0894,97.30,1.9135,63.31,71.83,29.25,0.00,124.9
66,0.0839,97.21,2.3322,60.94,71.06,20.45,0.00,124.8
67,0.0838,97.41,2.5293,57.45,67.29,18.10,0.00,118.5
68,0.0880,97.17,2.1309,60.80,70.55,21.80,0.00,125.5
69,0.0799,97.44,2.3218,60.24,70.60,18.80,0.00,129.0
70,0.0803,97.32,2.4509,59.70,69.64,19.95,0.00,126.5
71,0.0755,97.53,2.4098,59.42,69.46,19.25,0.00,116.7
72,0.0770,97.38,2.1829,62.51,70.58,30.25,0.00,121.5
73,0.0626,97.87,2.2774,62.93,72.95,22.85,0.00,122.0
74,0.0754,97.73,2.3478,60.76,71.09,19.45,0.00,118.3
75,0.0691,97.83,2.1620,61.78,69.59,30.55,0.00,124.2
76,0.0700,97.68,2.4607,59.67,69.72,19.45,0.00,128.7
77,0.0689,97.98,2.5232,58.68,68.30,20.20,0.00,118.7
78,0.0649,97.90,2.2874,61.18,70.70,23.10,0.00,124.8
79,0.0660,97.92,2.4192,60.21,70.49,19.10,0.00,123.6
80,0.0606,98.08,2.3968,61.23,71.47,20.25,0.00,121.3
81,0.0578,98.07,2.4924,60.23,71.60,14.75,0.00,114.3
82,0.0496,98.42,2.3443,62.06,70.66,27.65,0.00,124.4
83,0.0544,98.25,2.6042,59.96,70.42,18.10,0.00,122.7
84,0.0517,98.39,2.3409,61.56,70.83,24.50,0.00,113.7
85,0.0545,98.23,2.5533,61.10,71.83,18.20,0.00,124.6
86,0.0505,98.53,2.6990,59.90,71.92,11.80,0.00,125.8
87,0.0531,98.29,2.5376,59.63,69.39,20.60,0.00,112.5
88,0.0434,98.55,2.6924,59.24,69.58,17.90,0.00,123.7
89,0.0451,98.65,2.8279,56.90,66.91,16.85,0.00,122.8
90,0.0512,98.40,2.4729,61.08,71.67,18.70,0.00,119.4
91,0.0456,98.40,2.6778,59.63,69.35,20.75,0.00,114.5
92,0.0453,98.54,2.4911,60.19,69.31,23.70,0.00,122.8
93,0.0386,98.78,2.7727,59.88,69.65,20.80,0.00,123.1
94,0.0416,98.74,2.6407,59.61,69.19,21.30,0.00,111.5
95,0.0363,98.82,2.5631,61.29,70.54,24.30,0.00,121.8
96,0.0388,98.78,2.1887,64.20,71.75,34.00,0.00,119.8
97,0.0340,98.86,2.6829,61.59,71.15,23.35,0.00,110.4
98,0.0354,98.96,2.6958,61.11,71.24,20.60,0.00,120.2
99,0.0370,98.92,2.6426,60.10,70.94,16.75,0.00,120.6
100,0.0375,98.85,2.6781,59.57,70.44,16.10,0.00,119.0
