epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.8323,32.40,2.9835,11.03,13.79,0.00,0.00,5.7
2,1.6473,46.39,2.7064,22.13,27.66,0.00,0.00,4.6
3,1.5029,55.03,20.1498,21.84,27.30,0.00,0.00,4.7
4,1.3269,56.59,3.0876,20.80,26.00,0.00,0.00,4.6
5,1.4376,56.34,2.6815,23.49,29.36,0.00,0.00,4.6
6,1.3669,58.53,3.3630,17.17,21.46,0.00,0.00,4.6
7,1.2055,60.24,2.9609,24.14,30.18,0.00,0.00,4.6
8,1.1061,63.36,2.6752,22.82,28.52,0.00,0.00,4.6
9,1.0676,65.43,30.2008,26.00,32.50,0.00,0.00,5.1
10,0.9566,68.65,2.5793,27.79,34.74,0.00,0.00,4.6
11,0.9357,69.39,2.4902,29.42,36.77,0.00,0.00,4.6
12,0.9001,70.57,2.5359,28.58,35.73,0.00,0.00,4.9
13,0.8816,71.37,2.4442,29.16,36.45,0.00,0.00,5.1
14,0.8405,72.48,2.3632,29.71,37.14,0.00,0.00,5.1
15,0.8142,73.17,2.3102,33.15,41.44,0.00,0.00,4.6
16,0.7923,74.18,2.2957,32.38,40.48,0.00,0.00,4.6
17,0.7460,75.45,2.0994,35.80,44.75,0.00,0.00,4.7
18,0.7421,75.55,2.2698,32.26,40.33,0.00,0.00,4.7
19,0.7133,76.32,2.2313,35.97,44.96,0.00,0.00,4.7
20,0.7045,77.38,2.3020,35.47,44.34,0.00,0.00,4.6
21,0.6680,78.05,2.2147,34.76,43.45,0.00,0.00,4.8
22,0.6559,78.59,2.2149,35.50,44.38,0.00,0.00,4.9
23,0.6333,79.34,2.2247,36.69,45.86,0.00,0.00,4.7
24,0.6130,79.99,1.9809,38.82,48.52,0.00,0.00,4.7
25,0.5911,81.01,2.2325,36.99,46.24,0.00,0.00,4.7
26,0.5811,80.83,2.2826,36.61,45.76,0.00,0.00,4.6
27,0.5618,81.77,2.1406,36.59,45.74,0.00,0.00,4.7
28,0.5580,81.86,2.2114,38.55,48.19,0.00,0.00,4.3
29,0.5348,82.25,2.0402,39.73,49.66,0.00,0.00,4.6
30,0.5251,82.85,1.9491,42.56,53.20,0.00,0.00,4.6
31,0.5027,83.38,2.0504,39.88,49.85,0.00,0.00,4.6
32,0.4922,83.61,2.2986,39.95,49.94,0.00,0.00,4.8
33,0.4806,84.16,2.3451,36.85,46.06,0.00,0.00,4.8
34,0.4670,84.45,2.0910,40.62,50.77,0.00,0.00,4.7
35,0.4649,84.61,1.9530,43.76,54.70,0.00,0.00,4.6
36,0.4506,84.94,1.9447,43.34,54.17,0.00,0.00,4.7
37,0.4400,85.40,2.4574,40.67,50.84,0.00,0.00,4.7
38,0.4308,85.68,1.9831,45.06,56.33,0.00,0.00,4.7
39,0.4219,86.04,1.9756,44.70,55.88,0.00,0.00,4.7
40,0.4070,86.60,2.1733,43.56,54.45,0.00,0.00,4.6
41,0.3958,86.88,2.1656,43.01,53.76,0.00,0.00,4.8
42,0.3867,86.88,2.1744,44.40,55.50,0.00,0.00,4.7
43,0.3867,86.52,1.9488,46.76,58.45,0.00,0.00,4.7
44,0.3698,86.99,1.8170,49.42,61.77,0.00,0.00,4.7
45,0.3574,88.23,2.0394,48.22,60.27,0.00,0.00,4.6
46,0.3473,88.18,1.9370,49.46,61.83,0.00,0.00,4.7
47,0.3382,88.84,2.0554,47.70,59.62,0.00,0.00,4.6
48,0.3354,88.66,1.8899,47.43,59.23,0.25,0.00,4.6
49,0.3211,89.31,2.1879,47.55,59.35,0.35,0.00,4.6
50,0.3174,89.35,1.9767,49.82,62.21,0.25,0.00,4.6
51,0.3066,89.59,2.0096,48.12,59.69,1.85,0.00,4.7
52,0.3002,89.76,2.0454,50.04,62.27,1.10,0.00,4.6
53,0.2964,90.15,1.8482,52.08,63.95,4.60,0.00,4.7
54,0.2829,90.30,1.9909,50.97,62.88,3.35,0.00,4.6
55,0.2810,90.40,1.9378,53.22,65.91,2.45,0.00,4.7
56,0.2678,91.08,2.2552,49.04,60.33,3.90,0.00,4.6
57,0.2660,91.25,1.8448,54.10,66.00,6.50,0.00,4.6
58,0.2510,91.54,2.1344,52.32,63.31,8.35,0.00,4.7
59,0.2483,91.54,2.1673,52.93,64.05,8.45,0.00,4.6
60,0.2354,92.03,1.9715,53.10,64.06,9.25,0.00,4.6
61,0.2468,91.99,2.0265,49.56,60.31,6.55,0.00,4.6
62,0.2276,92.44,2.1122,51.05,61.60,8.85,0.00,4.7
63,0.2212,92.75,2.4589,48.36,59.49,3.85,0.00,4.7
64,0.2214,92.65,2.2584,50.07,60.69,7.60,0.00,4.7
65,0.2178,92.85,2.1340,51.06,61.84,7.95,0.00,4.6
66,0.2129,92.89,1.8856,54.20,64.55,12.80,0.00,4.7
67,0.1976,93.44,2.1949,52.68,64.33,6.10,0.00,4.6
68,0.2017,93.17,2.2130,51.85,63.89,3.70,0.00,4.7
69,0.1972,93.65,1.9060,54.63,65.41,11.50,0.00,4.7
70,0.1830,93.87,2.1244,52.91,63.17,11.85,0.00,4.8
71,0.1678,94.29,1.9488,56.42,66.24,17.15,0.00,4.8
72,0.1828,94.03,2.1923,52.79,64.25,6.95,0.00,4.6
