epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.8216,4.05,2.4742,9.52,10.71,4.75,0.00,5.5
2,1.8773,33.50,3.1260,9.91,12.39,0.00,0.00,4.6
3,1.7503,35.34,3.1695,10.26,12.82,0.00,0.00,4.7
4,1.7025,37.51,3.1078,11.89,14.86,0.00,0.00,4.6
5,1.6075,42.89,3.1197,17.74,22.18,0.00,0.00,4.7
6,1.5716,49.97,3.7758,15.74,19.68,0.00,0.00,4.8
7,1.3228,58.73,2.6675,25.02,31.27,0.00,0.00,4.8
8,1.2917,62.41,3.1546,24.68,30.85,0.00,0.00,4.7
9,1.1754,65.46,2.7664,24.71,30.89,0.00,0.00,4.7
10,1.0701,67.03,3.8472,28.80,36.00,0.00,0.00,4.7
11,1.0501,69.01,2.5056,30.28,37.85,0.00,0.00,4.7
12,1.0060,70.37,5.3156,28.54,35.67,0.00,0.00,4.7
13,0.9029,72.01,2.4318,33.27,41.59,0.00,0.00,4.7
14,0.8412,73.83,2.3299,33.37,41.71,0.00,0.00,4.7
15,0.7914,74.51,2.2533,35.30,44.12,0.00,0.00,4.5
16,0.7202,75.90,2.2401,35.40,44.25,0.00,0.00,4.5
17,0.7135,77.12,2.0494,39.83,49.79,0.00,0.00,4.7
18,0.6754,77.79,2.2543,40.22,50.27,0.00,0.00,5.0
19,0.6526,78.28,2.2177,39.59,49.49,0.00,0.00,5.0
20,0.6265,79.21,1.8665,44.56,55.70,0.00,0.00,4.8
21,0.6120,79.54,2.0154,43.60,54.50,0.00,0.00,4.5
22,0.5938,80.44,1.9342,43.73,54.66,0.00,0.00,4.5
23,0.5975,81.07,2.0814,41.18,51.44,0.15,0.00,4.7
24,0.5880,80.62,1.9990,44.90,56.12,0.00,0.00,4.7
25,0.5561,81.77,1.8938,46.08,57.38,0.90,0.00,4.5
26,0.5509,81.85,1.9707,44.54,54.48,4.80,0.00,4.5
27,0.5480,82.34,2.0966,44.50,55.16,1.85,0.00,4.4
28,0.5269,82.68,1.8460,48.44,60.49,0.25,0.00,4.5
29,0.5196,83.43,1.8460,48.36,60.44,0.05,0.00,4.4
30,0.5394,83.03,2.0065,49.08,60.23,4.50,0.00,4.5
31,0.4848,83.73,1.8731,45.52,54.96,7.75,0.00,4.5
32,0.4924,83.67,2.2289,48.68,59.46,5.55,0.00,4.4
33,0.4802,84.19,2.0615,45.59,56.44,2.20,0.00,4.6
34,0.4783,84.52,2.2765,43.22,53.96,0.25,0.00,4.7
35,0.4673,84.47,1.7905,48.18,57.48,11.00,0.00,4.6
36,0.4555,84.65,1.7884,49.04,59.39,7.65,0.00,4.6
37,0.4559,85.08,2.1212,44.14,53.91,5.05,0.00,4.7
38,0.4410,85.31,1.7516,51.68,62.58,8.10,0.00,4.7
39,0.4279,85.70,1.9022,48.89,59.79,5.30,0.00,4.6
40,0.4319,85.52,1.4942,54.55,64.16,16.10,0.00,4.7
41,0.4168,86.21,1.9363,48.74,59.21,6.85,0.00,4.7
42,0.4180,86.14,1.6270,51.47,61.29,12.20,0.00,4.6
43,0.4140,86.19,1.5554,54.23,64.41,13.50,0.00,4.7
44,0.4132,86.18,1.7912,48.94,59.34,7.35,0.00,4.6
45,0.4027,86.63,1.8247,51.17,59.39,18.30,0.00,4.7
46,0.4084,86.72,1.5095,55.84,64.14,22.65,0.00,4.6
47,0.3963,86.64,1.3486,58.60,64.91,33.35,0.00,4.6
48,0.3959,86.64,1.5774,54.24,64.11,14.75,0.00,4.6
49,0.3961,87.10,1.6919,53.79,64.88,9.45,0.00,4.6
50,0.3873,87.11,1.6976,53.21,62.27,16.95,0.00,4.7
51,0.3860,87.41,1.7523,50.30,60.73,8.60,0.00,4.7
52,0.3662,88.01,1.6762,53.65,64.09,11.90,0.00,4.7
53,0.3785,87.27,1.7383,53.47,63.17,14.65,0.00,4.8
54,0.3723,87.67,1.5813,55.15,64.16,19.10,0.00,4.6
55,0.3746,87.58,1.6564,55.10,66.28,10.40,0.00,4.8
56,0.3647,87.97,1.6989,53.45,62.59,16.90,0.00,4.7
57,0.3555,88.15,1.5131,55.28,64.72,17.50,0.00,4.7
58,0.3626,87.97,1.5487,56.96,63.52,30.70,0.00,4.6
59,0.3456,88.25,1.8324,51.47,59.86,17.90,0.00,4.6
60,0.3459,88.35,1.4236,58.95,68.55,20.55,0.00,4.8
61,0.3407,88.73,1.7597,53.81,64.20,12.25,0.00,4.9
62,0.3479,88.42,1.5596,55.96,66.44,14.05,0.00,4.7
63,0.3340,88.88,1.7304,53.35,62.40,17.15,0.00,4.7
64,0.3398,88.72,1.5317,57.21,63.90,30.45,0.00,4.5
65,0.3386,88.72,1.8126,53.08,62.17,16.70,0.00,4.5
66,0.3265,89.08,1.5975,57.93,68.09,17.30,0.00,4.5
67,0.3187,89.13,1.7845,54.32,61.96,23.75,0.00,4.5
68,0.3256,89.09,1.5286,59.59,68.01,25.90,0.00,4.5
69,0.3192,89.13,1.7871,55.23,66.44,10.40,0.00,4.5
70,0.3141,89.52,1.6532,56.24,63.62,26.70,0.00,4.5
