epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.7424,6.15,2.4476,10.40,12.69,1.25,0.00,16.8
2,1.6820,42.71,2.8327,20.49,25.61,0.00,0.00,13.7
3,1.2576,57.60,2.7384,26.14,32.67,0.00,0.00,9.0
4,1.0943,64.28,2.5394,27.52,34.40,0.00,0.00,14.2
5,1.0234,66.60,2.8772,29.04,36.30,0.00,0.00,11.0
6,0.9357,69.13,3.2896,30.04,37.55,0.00,0.00,11.6
7,0.8737,71.08,2.5008,33.16,41.45,0.00,0.00,9.5
8,0.8246,72.51,2.2070,34.98,43.73,0.00,0.00,9.3
9,0.7822,74.21,2.4585,36.30,45.38,0.00,0.00,9.9
10,0.7474,75.42,2.2807,37.79,47.24,0.00,0.00,9.0
11,0.7096,76.59,2.4295,35.30,44.12,0.00,0.00,9.6
12,0.7068,77.10,2.3172,38.12,47.65,0.00,0.00,10.9
13,0.6567,78.17,2.4284,40.06,50.08,0.00,0.00,10.0
14,0.6385,78.97,2.1929,39.59,49.49,0.00,0.00,10.0
15,0.6070,80.07,2.0429,41.60,52.00,0.00,0.00,12.6
16,0.5719,80.90,2.1632,44.73,55.91,0.00,0.00,15.4
17,0.5597,81.76,2.8724,46.23,57.79,0.00,0.00,15.1
18,0.5757,82.11,42.7567,44.78,55.98,0.00,0.00,15.4
19,0.5291,82.89,2.2562,47.30,59.12,0.00,0.00,16.1
20,0.5081,83.38,2.2386,43.29,53.38,2.95,0.00,16.1
21,0.4855,84.03,2.0389,46.16,57.70,0.00,0.00,14.1
22,0.4681,84.67,1.7623,49.12,61.06,1.35,0.00,15.5
23,0.4469,85.54,1.8824,49.16,59.92,6.10,0.00,12.8
24,0.4229,85.99,1.7205,54.29,64.86,12.00,0.00,9.8
25,0.4020,86.38,1.8027,54.85,65.69,11.50,0.00,10.1
26,0.3787,87.46,1.6700,51.92,61.44,13.85,0.00,10.0
27,0.3738,87.61,1.7299,54.11,64.80,11.35,0.00,12.8
28,0.3591,88.26,2.1896,48.47,60.19,1.60,0.00,10.0
29,0.3459,88.55,2.0185,53.85,67.14,0.70,0.00,14.8
30,0.3379,88.76,1.7893,56.14,66.94,12.95,0.00,14.0
31,0.3126,89.44,1.6674,56.48,65.21,21.55,0.00,14.9
32,0.3143,89.72,1.5511,57.49,66.64,20.90,0.00,14.4
33,0.2921,90.26,1.8201,54.64,65.72,10.30,0.00,14.6
34,0.2798,91.18,1.8971,54.79,65.76,10.90,0.00,11.0
35,0.2525,91.49,1.7868,57.58,65.97,24.00,0.00,15.5
36,0.2527,91.87,1.9782,54.66,64.08,17.00,0.00,15.6
37,0.2535,92.01,1.8059,57.22,67.28,17.00,0.00,25.2
38,0.2569,91.94,1.6382,59.27,68.16,23.70,0.00,29.6
39,0.2265,92.42,1.7877,57.99,66.96,22.10,0.00,35.6
40,0.2193,92.66,1.7216,59.08,67.46,25.55,0.00,43.2
41,0.2032,93.18,1.8104,59.34,66.49,30.75,0.00,42.8
42,0.1997,93.37,1.9024,57.46,66.56,21.05,0.00,44.8
43,0.1958,93.64,1.6153,60.90,68.11,32.05,0.00,34.7
44,0.1890,93.82,1.8435,58.78,66.95,26.10,0.00,28.5
45,0.1686,94.41,1.8835,57.92,67.35,20.20,0.00,18.8
46,0.1627,94.41,1.8974,59.29,68.14,23.90,0.00,19.9
47,0.1699,94.42,1.8152,59.33,65.40,35.05,0.00,22.0
48,0.1674,94.54,1.7998,60.36,69.67,23.10,0.00,28.5
49,0.1639,94.62,1.9349,58.30,66.75,24.50,0.00,34.7
50,0.1511,94.83,2.1615,58.14,67.81,19.45,0.00,40.3
51,0.1422,95.47,1.8160,60.32,69.14,25.05,0.00,40.6
52,0.1357,95.55,1.9558,58.97,66.83,27.55,0.00,30.3
53,0.1279,95.66,1.9051,60.74,67.71,32.85,0.00,19.9
54,0.1412,95.40,1.9989,58.83,67.95,22.35,0.00,25.2
55,0.1283,95.68,2.0177,59.96,67.69,29.05,0.00,26.9
56,0.1171,96.23,2.0622,60.67,69.19,26.60,0.00,25.7
57,0.1220,95.96,2.2312,57.33,67.03,18.55,0.00,28.5
58,0.1219,95.83,2.1271,58.85,68.95,18.45,0.00,40.9
59,0.1094,96.29,2.0064,61.48,68.89,31.85,0.00,41.9
60,0.1137,96.64,2.5760,61.18,69.41,28.25,0.00,37.6
61,0.1160,96.82,2.2187,58.74,68.10,21.30,0.00,30.9
62,0.0967,96.76,2.2222,60.60,69.76,23.95,0.00,27.0
63,0.0987,96.83,1.9999,61.20,67.81,34.75,0.00,26.3
64,0.1017,96.73,1.9981,61.02,67.83,33.80,0.00,29.1
65,0.0952,96.90,2.0138,61.50,69.22,30.60,0.00,37.0
66,0.1045,97.15,1.9103,62.93,70.84,31.30,0.00,37.3
67,0.0806,97.40,2.3718,59.41,67.59,26.70,0.00,10.8
68,0.0752,97.32,2.3903,59.85,68.79,24.10,0.00,38.4
69,0.0696,97.73,2.3704,59.99,68.88,24.45,0.00,32.2
70,0.0727,97.65,2.1926,61.33,68.67,31.95,0.00,21.8
71,0.0628,97.86,2.4990,58.85,68.15,21.65,0.00,19.9
72,0.0706,97.79,2.4524,58.93,69.21,17.80,0.00,23.5
73,0.0675,97.73,2.3726,59.62,67.65,27.50,0.00,28.0
74,0.0612,97.99,2.5044,59.65,67.85,26.85,0.00,35.8
75,0.0690,97.69,2.3449,60.78,69.29,26.75,0.00,40.6
76,0.0594,98.01,2.3913,60.89,69.16,27.80,0.00,41.5
77,0.0624,97.94,2.5389,58.55,68.59,18.40,0.00,35.6
78,0.0506,98.29,2.6459,58.87,68.41,20.70,0.00,30.0
79,0.0528,98.34,2.5892,57.85,67.14,20.70,0.00,38.8
80,0.0556,98.30,2.7941,57.98,67.42,20.20,0.00,27.9
81,0.0516,98.33,2.6580,59.54,69.26,20.65,0.00,28.2
82,0.0522,98.24,2.5166,59.62,67.66,27.45,0.00,33.6
83,0.0470,98.40,2.3782,61.20,70.61,23.55,0.00,38.6
84,0.0446,98.51,2.5914,60.72,69.96,23.75,0.00,37.8
85,0.0399,98.82,2.5169,60.23,69.36,23.70,0.00,46.3
86,0.0470,98.48,2.5732,60.78,69.38,26.40,0.00,34.2
87,0.0478,98.44,2.9313,58.15,67.44,21.00,0.00,23.3
88,0.0450,98.53,2.6667,59.34,69.21,19.85,0.00,23.9
89,0.0402,98.69,2.6769,60.41,70.22,21.15,0.00,32.6
90,0.0428,98.62,2.7486,58.85,68.21,21.40,0.00,33.2
91,0.0393,98.73,2.4796,61.49,70.15,26.85,0.00,43.0
92,0.0347,98.86,2.6816,59.82,68.81,23.85,0.00,42.1
93,0.0308,99.05,2.7200,59.82,69.36,21.65,0.00,31.3
94,0.0291,99.10,2.7106,60.94,69.81,25.45,0.00,26.4
95,0.0369,98.75,2.8604,58.87,69.36,16.90,0.00,27.6
96,0.0365,98.79,2.4394,62.37,70.06,31.60,0.00,33.8
97,0.0309,99.00,2.7342,60.13,68.94,24.90,0.00,29.1
98,0.0279,99.05,2.7203,61.39,69.66,28.30,0.00,33.6
99,0.0281,99.10,2.6875,61.11,69.51,27.50,0.00,39.4
100,0.0285,99.09,2.9155,59.43,68.35,23.75,0.00,36.2
101,0.0237,99.27,2.9966,60.87,69.46,26.50,0.00,11.1
102,0.0239,99.22,3.0462,59.50,68.03,25.40,0.00,30.9
103,0.0246,99.19,5.2496,58.75,69.42,16.05,0.00,23.7
104,0.0256,99.17,3.1792,60.68,69.45,25.60,0.00,23.9
105,0.0225,99.19,3.3434,59.40,68.53,22.90,0.00,30.9
106,0.0570,99.16,4.7843,61.07,69.42,27.65,0.00,36.7
107,0.0297,99.06,2.8576,60.18,69.14,24.35,0.00,43.5
108,0.0227,99.22,2.9624,60.31,68.30,28.35,0.00,47.8
109,0.0186,99.36,3.0289,61.61,70.21,27.20,0.00,41.0
110,0.0190,99.50,3.0567,60.63,69.53,25.05,0.00,36.5
111,0.0175,99.39,3.0760,60.60,69.71,24.15,0.00,26.4
112,0.0186,99.37,3.4383,59.10,69.61,17.05,0.00,29.3
113,0.0145,99.44,3.0940,61.00,69.99,25.05,0.00,28.2
114,0.0125,99.63,3.1370,60.05,68.94,24.50,0.00,33.1
115,0.0126,99.57,3.2227,61.63,70.29,27.00,0.00,37.5
116,0.0199,99.40,3.1080,62.05,70.10,29.85,0.00,44.9
117,0.0153,99.48,3.4222,59.43,69.42,19.45,0.00,47.5
118,0.0170,99.51,3.0589,61.11,69.45,27.75,0.00,32.8
119,0.0158,99.51,3.1484,61.37,70.83,23.55,0.00,29.8
120,0.0130,99.61,3.3486,59.86,69.78,20.20,0.00,28.0
121,0.0092,99.68,3.3219,60.20,69.25,24.00,0.00,33.6
122,0.0123,99.56,3.5041,59.44,68.59,22.85,0.00,36.7
123,0.0140,99.59,3.4895,59.32,68.46,22.75,0.00,34.1
124,0.0133,99.61,3.3661,61.29,71.16,21.80,0.00,47.8
125,0.0119,99.61,3.1238,62.00,69.81,30.75,0.00,43.8
126,0.0113,99.65,3.3773,60.83,70.92,20.45,0.00,39.4
127,0.0091,99.70,3.3618,61.31,70.09,26.20,0.00,39.3
128,0.0085,99.76,3.4757,60.54,70.09,22.35,0.00,33.4
129,0.0068,99.79,3.4174,60.87,69.67,25.65,0.00,35.2
130,0.0077,99.74,3.3369,61.59,70.21,27.10,0.00,39.5
131,0.0074,99.76,3.5109,61.01,69.47,27.15,0.00,44.8
132,0.0097,99.70,3.4317,61.44,70.92,23.50,0.00,46.9
133,0.0090,99.73,3.5324,60.29,70.03,21.35,0.00,46.3
134,0.0049,99.82,3.4421,61.11,70.29,24.40,0.00,16.8
135,0.0100,99.70,3.1270,63.48,71.16,32.75,0.00,39.9
136,0.0073,99.79,3.2086,62.60,70.62,30.50,0.00,36.0
137,0.0057,99.77,3.3546,62.28,71.22,26.50,0.00,36.4
138,0.0051,99.84,3.4031,61.80,71.39,23.45,0.00,40.7
139,0.0072,99.77,3.4058,62.51,71.55,26.35,0.00,43.4
140,0.0070,99.78,3.6635,61.41,71.62,20.55,0.00,49.0
141,0.0055,99.81,3.4002,62.59,71.15,28.35,0.00,53.9
142,0.0055,99.84,3.5017,61.55,70.89,24.20,0.00,47.5
143,0.0041,99.85,3.6831,60.72,70.42,21.90,0.00,42.9
144,0.0058,99.82,3.5486,60.96,69.67,26.10,0.00,40.1
145,0.0057,99.79,3.4999,61.73,70.24,27.70,0.00,35.9
146,0.0054,99.80,3.4861,62.28,71.20,26.60,0.00,42.8
147,0.0037,99.90,3.6170,61.04,70.54,23.05,0.00,48.6
148,0.0039,99.85,3.5216,61.74,70.38,27.20,0.00,61.6
149,0.0045,99.83,3.3917,62.45,70.16,31.60,0.00,66.1
150,0.0043,99.88,3.6307,61.28,70.79,23.25,0.00,74.6
151,0.0033,99.90,3.5127,62.42,70.78,29.00,0.00,71.6
152,0.0042,99.90,3.5051,61.99,69.91,30.30,0.00,72.3
153,0.0033,99.90,3.4778,62.41,71.20,27.25,0.00,73.6
154,0.0035,99.85,3.5838,61.40,70.61,24.55,0.00,80.9
155,0.0040,99.88,3.5953,61.26,70.45,24.50,0.00,80.9
156,0.0023,99.94,3.6332,60.70,69.66,24.85,0.00,91.2
157,0.0021,99.94,3.5299,61.60,69.91,28.35,0.00,99.0
158,0.0010,99.98,3.6831,60.77,69.04,27.70,0.00,108.5
159,0.0027,99.92,3.6705,61.37,69.74,27.90,0.00,109.3
160,0.0027,99.90,3.6369,61.92,70.17,28.90,0.00,115.5
161,0.0016,99.95,3.6181,62.19,70.35,29.55,0.00,111.7
162,0.0014,99.96,3.7392,61.35,69.74,27.80,0.00,121.4
163,0.0005,99.99,3.8056,61.35,70.14,26.20,0.00,122.8
164,0.0015,99.98,3.6018,62.65,70.96,29.40,0.00,131.3
165,0.0018,99.95,3.6808,62.07,70.84,27.00,0.00,126.5
166,0.0013,99.96,3.6944,62.30,70.92,27.80,0.00,136.3
167,0.0016,99.94,3.7534,62.37,71.33,26.55,0.00,12.5
168,0.0016,99.96,3.6670,62.57,71.60,26.45,0.00,149.8
169,0.0019,99.96,3.8341,61.45,70.16,26.60,0.00,152.3
170,0.0010,99.98,3.6859,62.71,71.14,29.00,0.00,172.8
171,0.0009,99.96,3.7408,62.58,70.67,30.20,0.00,180.9
172,0.0009,99.98,3.7387,62.55,70.91,29.10,0.00,178.0
173,0.0008,99.97,3.7531,62.30,70.78,28.40,0.00,151.1
174,0.0012,99.94,3.7749,62.38,71.38,26.40,0.00,154.8
175,0.0014,99.93,3.9011,61.75,70.64,26.20,0.00,158.4
176,0.0009,99.95,3.8549,62.21,71.50,25.05,0.00,162.3
177,0.0007,99.97,3.8145,62.27,71.30,26.15,0.00,169.9
178,0.0017,99.94,3.8268,62.13,71.33,25.35,0.00,201.1
179,0.0007,99.98,3.8592,61.94,71.08,25.40,0.00,224.1
180,0.0009,99.98,3.8469,62.18,71.08,26.60,0.00,230.7
181,0.0009,99.98,3.8097,62.22,71.10,26.70,0.00,231.6
