epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.7403,6.47,2.4475,10.53,12.89,1.10,0.00,29.6
2,1.6933,41.91,3.0032,18.67,23.34,0.00,0.00,29.0
3,1.2732,56.94,2.8739,24.03,30.04,0.00,0.00,29.3
4,1.0927,63.64,3.9452,25.97,32.46,0.00,0.00,30.7
5,1.0064,67.10,5.8550,26.24,32.80,0.00,0.00,30.3
6,0.9360,69.09,2.8030,28.90,36.12,0.00,0.00,30.2
7,0.8712,71.67,2.5715,30.74,38.42,0.00,0.00,29.1
8,0.8472,72.29,3.7107,30.24,37.80,0.00,0.00,29.5
9,0.8020,73.92,2.3527,34.90,43.62,0.00,0.00,28.6
10,0.7476,75.21,2.2863,34.99,43.74,0.00,0.00,29.5
11,0.7193,75.75,2.2288,33.73,42.16,0.00,0.00,29.0
12,0.7024,77.05,2.1693,38.66,48.33,0.00,0.00,28.6
13,0.6592,77.70,2.2582,39.53,49.41,0.00,0.00,28.8
14,0.6269,79.11,2.1727,41.42,51.77,0.00,0.00,30.3
15,0.5984,80.05,2.1829,40.56,50.70,0.00,0.00,29.8
16,0.5697,81.49,2.0689,42.29,52.86,0.00,0.00,30.5
17,0.5467,82.18,1.8428,46.11,57.64,0.00,0.00,31.7
18,0.5534,82.54,1.7452,46.36,57.95,0.00,0.00,30.7
19,0.5510,82.54,2.2555,43.94,54.92,0.00,0.00,28.7
20,0.5005,83.17,1.9488,47.09,58.86,0.00,0.00,32.0
21,0.4997,84.32,2.2280,51.16,63.95,0.00,0.00,31.1
22,0.4746,84.98,2.0930,44.07,55.09,0.00,0.00,31.5
23,0.4597,85.21,1.7081,51.15,63.92,0.05,0.00,32.5
24,0.4311,85.76,1.6498,53.12,65.84,2.25,0.00,31.3
25,0.4107,86.22,1.7370,51.25,62.14,7.70,0.00,32.0
26,0.3919,87.14,1.7670,54.60,66.35,7.60,0.00,30.2
27,0.3828,87.60,1.7181,53.92,65.55,7.40,0.00,31.0
28,0.3778,88.05,1.8745,52.73,65.41,2.00,0.00,32.1
29,0.3717,88.33,1.9270,53.36,66.34,1.45,0.00,30.9
30,0.3419,88.49,1.7553,55.97,67.42,10.15,0.00,29.5
31,0.3263,89.30,1.7462,53.24,63.89,10.65,0.00,29.2
32,0.3224,89.28,1.7837,56.25,66.44,15.50,0.00,28.2
33,0.3027,89.98,1.7332,57.46,67.54,17.15,0.00,28.2
34,0.2960,90.19,1.7081,56.05,64.85,20.85,0.00,30.6
35,0.2771,90.84,1.7000,54.69,63.50,19.45,0.00,30.6
36,0.2693,90.84,1.9502,54.17,64.14,14.30,0.00,27.8
37,0.8533,88.02,2.7066,44.75,55.85,0.35,0.00,31.4
38,0.6158,86.84,2.7977,50.60,60.84,9.65,0.00,30.5
39,0.3450,90.30,2.3549,52.10,62.86,9.05,0.00,31.4
40,0.3841,90.41,3.7378,58.91,67.91,22.90,0.00,32.8
41,0.3233,90.82,1.7338,57.30,66.78,19.40,0.00,30.0
42,0.2656,91.71,2.6579,48.04,59.21,3.35,0.00,32.7
43,0.2429,92.19,2.1659,56.75,67.47,13.85,0.00,30.9
44,0.2327,92.43,1.9080,56.75,66.42,18.05,0.00,32.9
45,0.2179,92.83,1.6401,57.85,68.06,17.00,0.00,29.5
46,0.2036,93.02,2.0094,57.23,67.50,16.15,0.00,26.9
47,0.1913,93.70,1.8019,59.29,66.92,28.75,0.00,27.2
48,0.1992,93.70,1.9580,57.19,67.29,16.80,0.00,34.8
49,0.1859,93.74,1.9910,57.84,66.92,21.50,0.00,33.9
50,0.1801,94.14,1.9996,58.27,67.17,22.65,0.00,34.3
51,0.1702,94.23,1.9155,58.41,67.44,22.30,0.00,33.5
52,0.1660,94.46,2.0515,56.57,67.12,14.35,0.00,34.0
53,0.1529,94.95,2.0197,59.95,69.04,23.60,0.00,31.3
54,0.1556,94.92,1.8278,59.84,67.94,27.45,0.00,33.1
55,0.1516,95.02,1.8259,60.63,68.47,29.25,0.00,33.0
56,0.1368,95.43,1.9151,60.57,68.96,27.00,0.00,31.2
57,0.1303,95.73,2.1657,57.52,67.25,18.60,0.00,33.2
58,0.1704,94.98,1.9925,60.12,69.45,22.80,0.00,33.6
59,0.1249,95.91,2.2209,59.68,68.81,23.15,0.00,34.5
60,0.1243,95.78,2.1044,59.61,69.59,19.70,0.00,33.4
